district,year,forest_cover_ha,loss_m2,percent_loss_annual,forest_2000_m2,population,pop_growth,district_area_km2,pop_density,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date,percent_forest_2000,mean_spei_lag1,mean_spei_lag2,mean_spei_lag3,mean_spei_lag4,mean_spei_lag5,pop_density_c,pop_density_c_scaled,pop_density_wi,spei4_x_popdens
Mbala,2004,65304.932216900444,1089819.4267527862,0.1666036103716706,656260963.2302241,98839.5546875,0.0269550618281273,3313.8853336905904,29.825882532098625,-0.7395268554488817,-0.8291032910346985,6.0,Northern,November 13,May 15,19803369.674814995,-0.5004970550537109,-0.6820757339398066,-0.7388016780217489,0.3993003604312737,,-49.469592343609655,-0.49469592343609653,-0.07658065464486996,-0.03057868300175947
Mbala,2005,65094.90181075421,2100304.0614624023,0.3216149209812454,656260963.2302241,101381.3125,0.0257159982209171,3313.8853336905904,30.59288487423136,-1.441631535689036,-1.4418392777442932,6.0,Northern,November 13,May 15,19803369.674814995,-0.7395268554488817,-0.5004970550537109,-0.6820757339398066,-0.7388016780217489,0.3993003604312737,-48.70259000147692,-0.4870259000147692,-0.06891063122354263,0.05091128998149122
Mbala,2006,64831.97870166111,2629231.090930894,0.4039073748931477,656260963.2302241,104367.046875,0.0294505397629369,3313.8853336905904,31.493861846682865,-0.6141878589987755,-0.633336529135704,8.0,Northern,November 13,May 15,19803369.674814995,-1.441631535689036,-0.7395268554488817,-0.5004970550537109,-0.6820757339398066,-0.7388016780217489,-47.80161302902542,-0.4780161302902542,-0.059900861499027624,0.04085692407057597
Mbala,2007,64330.64342912608,5013352.7253504135,0.7732839295898217,656260963.2302241,107257.1796875,0.0276920052740545,3313.8853336905904,32.365990035041555,-0.3150613945908844,-0.2688331976532936,6.0,Northern,November 13,May 15,19803369.674814995,-0.6141878589987755,-1.441631535689036,-0.7395268554488817,-0.5004970550537109,-0.6820757339398066,-46.929484840666724,-0.46929484840666724,-0.05117957961544067,0.02561522887641499
Mbala,2008,64016.36089717326,3142825.3195281383,0.4885424973233216,656260963.2302241,110274.8203125,0.028134625894435,3313.8853336905904,33.27659505638046,-0.4808168453829629,-0.4642218053340912,7.0,Northern,November 13,May 15,19803369.674814995,-0.3150613945908844,-0.6141878589987755,-1.441631535689036,-0.7395268554488817,-0.5004970550537109,-46.01887981932782,-0.46018879819327824,-0.04207352940205167,0.03111450489633534
Mbala,2009,63988.01263923259,283482.5794067383,0.0442828326124448,656260963.2302241,113534.5,0.0295596009883545,3313.8853336905904,34.260237928498114,0.5399407595396042,0.6205416023731232,6.0,Northern,November 13,May 15,19803369.674814995,-0.4808168453829629,-0.3150613945908844,-0.6141878589987755,-1.441631535689036,-0.7395268554488817,-45.035236947210166,-0.45035236947210167,-0.0322371006808751,0.04647402096073203
Mbala,2010,63473.44359767465,5145690.415579284,0.8041647495119011,656260963.2302241,116632.984375,0.0272911262655843,3313.8853336905904,35.19523840769372,-1.2330987453460691,-1.187516212463379,5.0,Northern,November 13,May 15,19803369.674814995,0.5399407595396042,-0.4808168453829629,-0.3150613945908844,-0.6141878589987755,-1.441631535689036,-44.10023646801456,-0.4410023646801456,-0.022887095888919018,0.014056976422714848
Mbala,2011,63027.499845744285,4459437.5193036245,0.7025674465639037,656260963.2302241,119926.7734375,0.0282406309000013,3313.8853336905904,36.18917414500295,-1.2115724086761477,-1.2126360535621643,6.0,Northern,November 13,May 15,19803369.674814995,-1.2330987453460691,0.5399407595396042,-0.4808168453829629,-0.3150613945908844,-0.6141878589987755,-43.10630073070533,-0.43106300730705327,-0.012947738515826701,0.004079332553594468
Mbala,2012,62746.639798294,2808600.4745028624,0.4456150856969941,656260963.2302241,123681.25,0.0313064085265051,3313.8853336905904,37.32212721502325,-1.4347570538520813,-1.4371400475502014,6.0,Northern,November 13,May 15,19803369.674814995,-1.2115724086761477,-1.2330987453460691,0.5399407595396042,-0.4808168453829629,-0.3150613945908844,-41.97334766068503,-0.4197334766068503,-0.0016182078156237178,0.0007780615770822513
Mbala,2013,62360.13460075773,3865051.975362621,0.6159775229059687,656260963.2302241,127183.4921875,0.0283166784577291,3313.8853336905904,38.378965890729525,-1.1831946869691212,-1.1074679493904114,6.0,Northern,November 13,May 15,19803369.674814995,-1.4347570538520813,-1.2115724086761477,-1.2330987453460691,0.5399407595396042,-0.4808168453829629,-40.916508984978755,-0.40916508984978756,0.008950178941439013,0.0048325664156559514
Mbala,2014,61747.96691023913,6121676.905186073,0.9816651205739522,656260963.2302241,130836.5546875,0.0287227724067717,3313.8853336905904,39.48131619321621,-0.5020188093185425,-0.5621011853218079,5.0,Northern,November 13,May 15,19803369.674814995,-1.1831946869691212,-1.4347570538520813,-1.2115724086761477,-1.2330987453460691,0.5399407595396042,-39.81415868249207,-0.39814158682492073,0.019973681966305834,-0.02462952217259313
Mbala,2015,61517.261229118514,2307056.8112060544,0.3736247404808878,656260963.2302241,134601.703125,0.0287774960636419,3313.8853336905904,40.61748961455389,0.1717702285386622,0.2474073916673659,6.0,Northern,November 13,May 15,19803369.674814995,-0.5020188093185425,-1.1831946869691212,-1.4347570538520813,-1.2115724086761477,-1.2330987453460691,-38.67798526115439,-0.3867798526115439,0.03133541617968266,-0.03796512565768765
Mbala,2016,60999.0496017152,5182116.274033012,0.8423841000873613,656260963.2302241,137881.1875,0.0243643601742131,3313.8853336905904,41.60710876089524,-0.3855552275975545,-0.3231915533542633,6.0,Northern,November 13,May 15,19803369.674814995,0.1717702285386622,-0.5020188093185425,-1.1831946869691212,-1.4347570538520813,-1.2115724086761477,-37.68836611481304,-0.37688366114813043,0.041231607643096135,-0.059157339907593566
Mbala,2017,60097.864336780665,9011852.649345368,1.4773759112948486,656260963.2302241,141399.4375,0.0255165339361469,3313.8853336905904,42.66877796357758,-0.5181973814964295,-0.53557950258255,5.0,Northern,November 13,May 15,19803369.674814995,-0.3855552275975545,0.1717702285386622,-0.5020188093185425,-1.1831946869691212,-1.4347570538520813,-36.6266969121307,-0.36626696912130696,0.051848299669919606,-0.06134663269783172
