,Q12_1,Location_district,Lat_jitter,Lon_jitter
755,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7106305239662,29.0629481846255
757,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7088745239662,29.0624111846255
759,"Yes, previously, but not this past year",Mansa,-10.7088715864685,29.0621437025797
760,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7115093294871,29.0635603280347
762,"Yes, previously, but not this past year",Mansa,-10.7092952078548,29.0611487706732
767,"Yes, previously, but not this past year",Mansa,-10.7091635239662,29.0622781846255
769,"Yes, previously, but not this past year",Chipili,-10.7097614147727,29.062618150765
771,"Yes, previously, but not this past year",Mansa,-10.7088794654575,29.0620749709737
776,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7115965239662,29.0635471846255
778,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7094030410391,29.0610626047086
779,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7114725239662,29.0635811846255
804,"Yes, this cultivation-year (2023-2024)",Mansa,-11.2252739583277,28.8880693397391
820,"Yes, previously, but not this past year",Mansa,-11.2263455239662,28.8899461846255
830,"Yes, this cultivation-year (2023-2024)",Mansa,-11.2230405239662,28.8915961846255
839,"Yes, this cultivation-year (2023-2024)",Mansa,-11.2252739583277,28.8880693397391
850,"Yes, previously, but not this past year",Mansa,-11.2264227589937,28.8904670705626
873,"Yes, this cultivation-year (2023-2024)",Kasama,-10.2223125239662,31.1722611846255
893,"Yes, previously, but not this past year",Kasama,-10.2221045239662,31.1720741846255
1024,"Yes, previously, but not this past year",Kasama,-10.2325295239662,31.1920871846255
1070,"Yes, previously, but not this past year",Solwezi,-12.3431910688092,26.5305271840006
1088,"Yes, this cultivation-year (2023-2024)",Kasama,-10.1451328585259,31.1797598735989
1107,"Yes, this cultivation-year (2023-2024)",Kasama,-10.1462105239662,31.1792621846255
1134,"Yes, previously, but not this past year",Kasama,-10.12725178452,31.1443911020723
1183,"Yes, this cultivation-year (2023-2024)",Kasama,-10.0992954990229,30.9248659466951
1188,"Yes, this cultivation-year (2023-2024)",Solwezi,-12.2075479526426,26.6397575927485
1206,"Yes, this cultivation-year (2023-2024)",Kasama,-10.0968905214554,30.9274577149748
1208,"Yes, this cultivation-year (2023-2024)",Kasama,-10.0970055239662,30.9257511846255
1219,"Yes, previously, but not this past year",Kasama,-10.1044276545158,30.9239659817516
