district,year,mean_start_day,start_date
Chasefu,2001,340.0,December 06
Chipangali,2001,340.2258064516129,December 06
Chipata,2001,339.2,December 05
Kasenengwa,2001,331.3636363636364,November 27
Katete,2001,324.4,November 20
Lumezi,2001,339.89344262295083,December 05
Lundazi,2001,340.2352941176471,December 06
Mambwe,2001,330.4225352112676,November 26
Nyimba,2001,323.7165354330709,November 19
Petauke,2001,322.8068181818182,November 18
Sinda,2001,322.4848484848485,November 18
Vubwi,2001,332.6363636363636,November 28
Chembe,2001,304.8333333333333,October 31
Chiengi,2001,298.0652173913044,October 25
Chifunabuli,2001,308.3783783783784,November 04
Chipili,2001,305.3207547169811,November 01
Kawambwa,2001,299.21276595744683,October 26
Lunga,2001,308.7906976744186,November 04
Mansa,2001,308.3804347826087,November 04
Milengi,2001,308.4,November 04
Mwansabombwe,2001,299.4375,October 26
Mwense,2001,306.0,November 02
Nchelenge,2001,298.81632653061223,October 25
Samfya,2001,310.25,November 06
Chilanga,2001,322.0,November 18
Chirundu,2001,322.0,November 18
Chongwe,2001,322.0,November 18
Kafue,2001,322.0,November 18
Luangwa,2001,322.9583333333333,November 18
Lusaka,2001,322.0,November 18
Rufunsa,2001,322.55652173913046,November 18
Shibuyunji,2001,322.0,November 18
Chama,2001,338.5094339622641,December 04
Chinsali,2001,319.2564102564103,November 15
Isoka,2001,339.4193548387097,December 05
Kanchibiya,2001,309.05825242718447,November 05
Lavushimanda,2001,322.6820809248555,November 18
Mafinga,2001,339.1276595744681,December 05
Mpika,2001,322.4757281553398,November 18
Nakonde,2001,330.84313725490193,November 26
Shiwamg'andu,2001,307.9816513761468,November 03
Chavuma,2001,295.85185185185185,October 22
Ikelenge,2001,292.3333333333333,October 19
Kabompo,2001,323.2,November 19
Kalumbila,2001,299.5796178343949,October 26
Kasempa,2001,304.4075471698113,October 31
Manyinga,2001,312.0967741935484,November 08
Mufumbwe,2001,310.5695067264574,November 06
Mushindano,2001,300.17543859649123,October 27
Mwinilunga,2001,295.2760180995475,October 22
Solwezi,2001,302.0204081632653,October 29
Zambezi,2001,297.6686390532544,October 24
Chilubi,2001,306.98387096774195,November 02
Kaputa,2001,298.16129032258067,October 25
Kasama,2001,305.296875,November 01
Lunte District,2001,300.4315789473684,October 27
Lupososhi,2001,306.2608695652174,November 02
Luwingu,2001,304.5263157894737,October 31
Mbala,2001,302.8684210526316,October 29
Mporokoso,2001,298.5744680851064,October 25
Mpulungu,2001,301.2926829268293,October 28
Mungwi,2001,306.2,November 02
Nsama,2001,298.967032967033,October 25
Senga Hill,2001,305.4655172413793,November 01
Chikankanta,2001,322.0,November 18
Choma,2001,321.1525423728813,November 17
Gwembe,2001,322.125,November 18
Kalomo,2001,319.95,November 15
Kazungula,2001,242.14732142857144,August 30
Livingstone,2001,34.888888888888886,February 03
Mazabuka,2001,321.89130434782606,November 17
Monze,2001,321.4,November 17
Namwala,2001,321.4848484848485,November 17
Pemba,2001,321.96,November 17
Siavonga,2001,322.0,November 18
Sinazongwe,2001,321.9344262295082,November 17
Zimba,2001,302.8358208955224,October 29
Kalabo,2001,300.728813559322,October 27
Kaoma,2001,300.3909090909091,October 27
Limulunga,2001,301.6818181818182,October 28
Luampa,2001,300.6269841269841,October 27
Lukulu,2001,304.56410256410254,October 31
Mitete,2001,298.8684210526316,October 25
Mongu,2001,303.1066666666667,October 30
Mulobezi,2001,304.12,October 31
Mwandi,2001,303.57142857142856,October 30
Nalolo,2001,304.7457627118644,October 31
Nkeyema,2001,300.0,October 27
Senanga,2001,304.206106870229,October 31
Sesheke,2001,305.57553956834533,November 01
Shang'ombo,2001,304.1752577319588,October 31
Sikongo,2001,301.0760869565217,October 28
Sioma,2001,304.82,October 31
Chibombo,2002,345.1545454545454,December 11
Chisamba,2002,345.1428571428572,December 11
Chitambo,2002,340.9718309859155,December 06
Itezhi-tezhi,2002,345.8888888888889,December 11
Kabwe,2002,332.05555555555554,November 28
Kapiri Mposhi,2002,313.6697247706422,November 09
Luano,2002,341.21367521367523,December 07
Mkushi,2002,341.77,December 07
Mumbwa,2002,335.69620253164555,December 01
Ngabwe,2002,304.3875,October 31
Serenje,2002,343.6222222222222,December 09
Chililabombwe,2002,307.5,November 03
Chingola,2002,306.0,November 02
Kalulushi,2002,307.0,November 03
Kitwe,2002,306.4,November 02
Luanshya,2002,306.44444444444446,November 02
Lufwanyama,2002,304.91472868217056,October 31
Masaiti,2002,327.15909090909093,November 23
Mpongwe,2002,304.5357142857143,October 31
Mufulira,2002,307.0,November 03
Ndola,2002,320.9230769230769,November 16
Chadiza,2002,316.625,November 12
Chasefu,2002,346.0,December 12
Chipangali,2002,341.1290322580645,December 07
Chipata,2002,320.6,November 16
Kasenengwa,2002,323.0,November 19
Katete,2002,321.6333333333333,November 17
Lumezi,2002,346.92622950819674,December 12
Lundazi,2002,347.7647058823529,December 13
Mambwe,2002,338.63380281690144,December 04
Nyimba,2002,343.5196850393701,December 09
Petauke,2002,337.52272727272725,December 03
Sinda,2002,329.54545454545456,November 25
Vubwi,2002,321.27272727272725,November 17
Chembe,2002,310.6666666666667,November 06
Chiengi,2002,309.8695652173913,November 05
Chifunabuli,2002,311.5135135135135,November 07
Chipili,2002,309.7735849056604,November 05
Kawambwa,2002,308.9255319148936,November 04
Lunga,2002,313.16279069767444,November 09
Mansa,2002,311.0108695652174,November 07
Milengi,2002,313.25333333333333,November 09
Mwansabombwe,2002,308.0,November 04
Mwense,2002,308.88461538461536,November 04
Nchelenge,2002,308.7755102040816,November 04
Samfya,2002,313.4,November 09
Chilanga,2002,347.0,December 13
Chirundu,2002,347.8636363636364,December 13
Chongwe,2002,347.0,December 13
Kafue,2002,347.0175438596491,December 13
Luangwa,2002,346.5208333333333,December 12
Lusaka,2002,347.0,December 13
Rufunsa,2002,346.2,December 12
Shibuyunji,2002,347.05,December 13
Chama,2002,331.35377358490564,November 27
Chinsali,2002,313.11538461538464,November 09
Isoka,2002,314.241935483871,November 10
Kanchibiya,2002,313.5728155339806,November 09
Lavushimanda,2002,327.7514450867052,November 23
Mafinga,2002,317.8085106382979,November 13
Mpika,2002,322.57766990291265,November 18
Nakonde,2002,313.37254901960785,November 09
Shiwamg'andu,2002,313.0091743119266,November 09
Chavuma,2002,303.48148148148147,October 30
Ikelenge,2002,282.375,October 09
Kabompo,2002,307.32941176470587,November 03
Kalumbila,2002,301.94267515923565,October 28
Kasempa,2002,302.07924528301885,October 29
Manyinga,2002,305.3225806451613,November 01
Mufumbwe,2002,304.49775784753365,October 31
Mushindano,2002,302.8070175438597,October 29
Mwinilunga,2002,300.6108597285068,October 27
Solwezi,2002,302.04761904761904,October 29
Zambezi,2002,304.8343195266272,October 31
Chilubi,2002,312.1290322580645,November 08
Kaputa,2002,309.1935483870968,November 05
