term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],district
Intercept,5.5864054846951755e-14,3.724625786821993e-14,1.499856845877054,0.15754094778715633,-2.4601593222014957e-14,1.3632970291591845e-13,Chadiza
mean_spei_lag4,0.10119480478181421,0.18513861106907661,0.5465894131832806,0.5939187629377856,-0.2987728476725448,0.5011624572361733,Chadiza
pop_density_wi,-1.2825232855262625,2.8653804776051444,-0.4475926654592769,0.661814694696218,-7.4728014581797035,4.9077548871271786,Chadiza
spei4_x_popdens,-0.14035494565848117,4.272718216042932,-0.0328490994635418,0.9742939240097517,-9.371001457487646,9.090291566170682,Chadiza
percent_forest_2000,8.866367313345306e-07,9.748582711835305e-09,90.95032145114857,1.2842926762251227e-19,8.655761987989639e-07,9.076972638700974e-07,Chadiza
Intercept,2.445491044982302e-13,2.40621104864425e-13,1.0163244185750806,0.32801756852821606,-2.75281188533892e-13,7.643793975303524e-13,Chama
mean_spei_lag4,0.18620724025274296,0.19206355208119427,0.9695084686032696,0.34998450799299796,-0.22872083771203647,0.6011353182175224,Chama
pop_density_wi,18.484488436912923,10.885389747938282,1.6981007446622596,0.11328099308066696,-5.031966387894986,42.000943261720835,Chama
spei4_x_popdens,-1.2571645805125897,15.769415439201468,-0.07972169833178357,0.9376727669592363,-35.32491542607581,32.81058626505064,Chama
percent_forest_2000,6.17402745996455e-07,4.239019384315138e-09,145.64754015537568,2.835968475503505e-22,6.082449013844499e-07,6.2656059060846e-07,Chama
Intercept,3.3080449183516566e-14,4.7563885183694e-15,6.9549510212965755,9.99236062801884e-06,2.2804896510480276e-14,4.3356001856552856e-14,Chasefu
mean_spei_lag4,0.21069172018614327,0.24273846956097828,0.8679782836532033,0.4011455787538617,-0.31371286117070984,0.7350963015429963,Chasefu
pop_density_wi,-8.109943917103612,3.71084985783333,-2.1854680808451787,0.04775416964722097,-16.126747638799543,-0.09314019540768115,Chasefu
spei4_x_popdens,-4.9114609627601356,4.48746786310251,-1.094483818623826,0.29360751075447833,-14.606045881082878,4.783123955562606,Chasefu
percent_forest_2000,8.009758487210279e-07,8.252182434486493e-09,97.06230504232303,5.520337239695993e-20,7.831480924421651e-07,8.188036049998907e-07,Chasefu
Intercept,-1.0856344413958541e-13,1.682535690558692e-12,-0.06452370951105146,0.9495348756345943,-3.743460813399569e-12,3.5263339251203982e-12,Chavuma
mean_spei_lag4,-0.7580582982722122,0.5572098827001412,-1.3604537927410671,0.19680916696939688,-1.9618370639279146,0.44572046738349025,Chavuma
pop_density_wi,69.10650656375987,99.58545644660128,0.6939417564533177,0.4999317652570271,-146.03479218284085,284.2478053103606,Chavuma
spei4_x_popdens,71.75453966881187,164.48241692224988,0.4362444388370699,0.669816591840148,-283.5881183889693,427.097197726593,Chavuma
percent_forest_2000,1.2706326545963034e-06,4.6895988194657616e-08,27.094698363580996,8.007727501947707e-13,1.1693200315867993e-06,1.3719452776058075e-06,Chavuma
Intercept,1.5663575805629144e-14,3.844877627138779e-15,4.0738814923702575,0.0013160334963957829,7.357222692030332e-15,2.3969928919227956e-14,Chembe
mean_spei_lag4,-0.3322821046130474,0.5471689213615323,-0.607275178908595,0.5541278824582354,-1.5143686921120825,0.8498044828859875,Chembe
pop_density_wi,7.218114913433576,2.3936397816459394,3.0155393341892824,0.009937426691204659,2.0469705543075056,12.389259272559645,Chembe
spei4_x_popdens,4.123540621408859,2.179217966495472,1.8922111898885294,0.0809449316724347,-0.5843735690046641,8.831454811822383,Chembe
percent_forest_2000,2.384441121542502e-07,6.430982051785679e-09,37.07740283430613,1.425728438892346e-14,2.245508200993091e-07,2.523374042091913e-07,Chembe
Intercept,4.1442606993953513e-13,1.7223125681915462e-14,24.06218694523542,3.642439264842181e-12,3.7721776905003625e-13,4.51634370829034e-13,Chibombo
mean_spei_lag4,-0.23802534076874254,0.2929314013040696,-0.8125634182921438,0.4310977890652067,-0.8708651586392571,0.39481447710177203,Chibombo
pop_density_wi,1.2482147270189756,4.855796197785945,0.25705665480526413,0.801158707986705,-9.242095180840339,11.73852463487829,Chibombo
spei4_x_popdens,8.773975418377498,6.366378079537115,1.378173791873736,0.1914082678946462,-4.97974823983494,22.527699076589936,Chibombo
percent_forest_2000,2.5105293351014586e-06,4.480368877581668e-08,56.033987461687445,6.862782992184007e-17,2.41373685017635e-06,2.607321820026567e-06,Chibombo
Intercept,1.7904909086941444e-14,1.2554746876848702e-14,1.4261465613423547,0.1773967039360016,-9.217972555604284e-15,4.5027790729487174e-14,Chiengi
mean_spei_lag4,-0.27149821910887945,0.3582219731168762,-0.7579049848522229,0.4620265565771504,-1.0453897418861984,0.5023933036684394,Chiengi
pop_density_wi,1.561960715877425,5.494244029230688,0.284290378724975,0.7806657060240961,-10.307631875820618,13.431553307575467,Chiengi
spei4_x_popdens,7.331048320164355,8.487727196162643,0.8637233679563558,0.40339483413476707,-11.005571479017133,25.66766811934584,Chiengi
percent_forest_2000,3.3508209063019407e-07,5.616396932850914e-09,59.66139762491903,3.045347554421041e-17,3.229486027342192e-07,3.4721557852616893e-07,Chiengi
Intercept,8.310154249045796e-13,3.019380127482821e-14,27.52271624697271,6.55290730719329e-13,7.657856830110282e-13,8.96245166798131e-13,Chifunabuli
mean_spei_lag4,-0.9178530781684879,0.7253049219624572,-1.2654720109785733,0.22791354337713846,-2.4847790979530813,0.6490729416161054,Chifunabuli
pop_density_wi,-21.167786952604377,21.813460045960905,-0.9704002440696663,0.34955651265667465,-68.29290232486292,25.957328419654164,Chifunabuli
