district,min_dist_to_urban_km
Choma,0.6846778755157427
Lundazi,5.425529778264143
Masaiti,2.9982883926796458
Mbala,5.38910766370427
Mpongwe,10.439345387736823
Mufumbwe,77.49341842519418
Mumbwa,51.75192053097346
Mungwi,18.899427290870463
Namwala,13.545595274724429
Petauke,5.465247464856376
Solwezi,32.52792139872153
