district,year,forest_cover_ha,loss_m2,percent_loss_annual,forest_2000_m2,population,pop_growth,district_area_km2,pop_density,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date,percent_forest_2000,mean_spei_lag1,mean_spei_lag2,mean_spei_lag3,mean_spei_lag4,mean_spei_lag5,pop_density_c,pop_density_c_scaled,pop_density_wi,spei4_x_popdens
Kabwe,2015,14956.742285366308,1405298.1341545554,0.930829175601831,161213799.90211445,220525.078125,0.0080130495419354,1543.901096321173,142.83627277062627,-0.7999866455793381,-0.7917338907718658,4.0,Central,November 18,April 22,10441977.163320677,-0.5050048053264617,0.5151967972517013,1.373586654663086,1.3852238059043884,1.98362340927124,63.540797894917986,0.6354079789491799,0.043716738082360096,0.060557466308172166
Kabwe,2016,14790.253838889188,1664884.464771226,1.1131330827302883,161213799.90211445,222350.875,0.0082793163050829,1543.901096321173,144.01885945273338,-0.2651955666020512,-0.2283767312765121,5.0,Central,November 18,April 22,10441977.163320677,-0.7999866455793381,-0.5050048053264617,0.5151967972517013,1.373586654663086,1.3852238059043884,64.7233845770251,0.647233845770251,0.055542604903431214,0.0762925808605776
Kabwe,2017,14549.63750434032,2406163.345488664,1.6268573695212372,161213799.90211445,223627.296875,0.005740575003359,1543.901096321173,144.84561051732,0.6702656328678132,0.7782669067382812,5.0,Central,November 18,April 22,10441977.163320677,-0.2651955666020512,-0.7999866455793381,-0.5050048053264617,0.5151967972517013,1.373586654663086,65.55013564161173,0.6555013564161173,0.0638101155492975,0.03287476716325906
Kabwe,2018,14368.7734425113,1808640.6182902015,1.2430829412421196,161213799.90211445,224888.5625,0.0056400343009332,1543.901096321173,145.6625447289773,0.518921646475792,0.5460103154182434,5.0,Central,November 18,April 22,10441977.163320677,0.6702656328678132,-0.2651955666020512,-0.7999866455793381,-0.5050048053264617,0.5151967972517013,66.36706985326903,0.6636706985326903,0.07197945766587055,-0.03634997200605725
Kabwe,2019,14267.772179692194,1010012.6281910616,0.7029219524074678,161213799.90211445,225846.15625,0.0042580811551944,1543.901096321173,146.28278766570543,0.0340297822840512,-0.0399697832763195,5.0,Central,November 18,April 22,10441977.163320677,0.518921646475792,0.6702656328678132,-0.2651955666020512,-0.7999866455793381,-0.5050048053264617,66.98731278999715,0.6698731278999714,0.07818188703315165,-0.06254446555271374
Kabwe,2020,14067.887573421584,1998846.0627060835,1.40095176565204,161213799.90211445,226891.25,0.0046274586530625,1543.901096321173,146.95970521728324,-0.08699791431427,-0.0529994592070579,5.0,Central,November 18,April 22,10441977.163320677,0.0340297822840512,0.518921646475792,0.6702656328678132,-0.2651955666020512,-0.7999866455793381,67.66423034157496,0.6766423034157496,0.08495106254892981,-0.02252864516610973
Kafue,2004,89874.80474459118,304090.11505126953,0.0338234127195598,903117331.0161568,101575.625,0.0093838050078998,4663.432864791719,21.781298872528453,-0.4884022861719131,-0.6856282949447632,5.0,Lusaka,November 07,March 31,19365934.006138895,0.0012755997478962,-0.0272270869463682,0.875085997581482,1.2433859904607136,,-57.51417600317983,-0.5751417600317983,-0.045490882493933626,-0.0565627259866516
Kafue,2005,89824.41500779308,503897.367980957,0.0560665883406308,903117331.0161568,105616.203125,0.0397790131736821,4663.432864791719,22.64773744731867,-0.745428591966629,-0.8251843452453613,4.0,Lusaka,November 07,March 31,19365934.006138895,-0.4884022861719131,0.0012755997478962,-0.0272270869463682,0.875085997581482,1.2433859904607136,-56.64773742838961,-0.5664773742838961,-0.036826496746031445,-0.03222635164243213
Kafue,2006,89775.31018347667,491048.2431640625,0.0546675692929878,903117331.0161568,106816.9453125,0.011368920222202,4663.432864791719,22.905217767570612,0.0332153052091598,-0.1689061820507049,5.0,Lusaka,November 07,March 31,19365934.006138895,-0.745428591966629,-0.4884022861719131,0.0012755997478962,-0.0272270869463682,0.875085997581482,-56.39025710813767,-0.5639025710813766,-0.034251693543511985,0.0009325738381695592
Kafue,2007,89754.80669941906,205034.84057617188,0.0228386669070967,903117331.0161568,108882.0859375,0.0193334551831481,4663.432864791719,23.348054768740184,0.7622944436967373,0.8553456664085388,5.0,Lusaka,November 07,March 31,19365934.006138895,0.0332153052091598,-0.745428591966629,-0.4884022861719131,0.0012755997478962,-0.0272270869463682,-55.947420106968096,-0.5594742010696809,-0.02982332353181627,-3.804262397861164e-05
