district,year,forest_cover_ha,loss_m2,percent_loss_annual
Chadiza,2001,57181.013720525196,513699.30725097656,0.08975675561256383
Chadiza,2002,57127.20750282614,538062.1769904641,0.0940980479325301
Chadiza,2003,56960.97731770773,1662301.851184082,0.2909825149604672
Chadiza,2004,56773.7954524611,1871818.652466299,0.3286142093429984
Chadiza,2005,56703.32492323304,704705.2922806086,0.1241250979724767
Chadiza,2006,56388.06319259775,3152617.3063529218,0.5559845583342856
Chadiza,2007,56253.10771699728,1349554.7560046627,0.23933341200160665
Chadiza,2008,55860.4023574187,3927053.5957857016,0.6981042923961185
Chadiza,2009,55677.381106627596,1830212.5079111136,0.3276404090684189
Chadiza,2010,55591.9391405332,854419.6609439625,0.1534590248251199
Chadiza,2011,55322.18050363333,2697586.368998688,0.48524775546673166
Chadiza,2012,55160.98742026757,1611930.8336576573,0.2913715292823269
Chadiza,2013,54859.642722311604,3013446.979559685,0.546300405502253
Chadiza,2014,54498.25591426287,3613868.08048742,0.6587480160561905
Chadiza,2015,54221.0332468925,2772226.673703661,0.5086817233316516
Chadiza,2016,54009.79868908247,2112345.5781003465,0.3895804730392903
Chadiza,2017,53706.75362653623,3030450.6254624315,0.5610927459492654
Chadiza,2018,53525.12428783548,1816293.3870074102,0.33818714861029864
Chadiza,2019,53360.36961905188,1647546.6878360524,0.3078081012901984
Chadiza,2020,53069.078379643724,2912912.3940815045,0.5458943434757381
Chadiza,2021,52462.50096909496,6065774.10548766,1.14299593863201
Chadiza,2022,51978.181473192286,4843194.959026741,0.9231727175720825
Chama,2001,455142.5080148157,2860326.3600322646,0.06280516271432585
Chama,2002,454654.48533850996,4880226.7630574545,0.10722414797825464
Chama,2003,454152.8115480929,5016737.904169778,0.11034176646106549
Chama,2004,453661.70420667593,4911073.414170209,0.10813702545250338
Chama,2005,452765.1181031303,8965861.035455922,0.19763319125943504
Chama,2006,452458.6643720339,3064537.3109647864,0.0676849251065041
Chama,2007,451626.37065719365,8322937.148402314,0.1839491163232269
Chama,2008,450533.7857999551,10925848.57238626,0.24192228980090955
Chama,2009,449888.22682969,6455589.702650601,0.1432875825547298
Chama,2010,449257.0460557496,6311807.739403339,0.14029724191455098
Chama,2011,448085.01135073416,11720347.050154863,0.2608828765859902
Chama,2012,447659.90233420493,4251090.165291341,0.09487240272725486
Chama,2013,446602.32889975986,10575734.344451305,0.23624484322377134
Chama,2014,445781.8517848897,8204771.148701267,0.18371536863487412
Chama,2015,445400.1788974564,3816728.8743334007,0.08561875857106782
Chama,2016,444701.90438564384,6982745.118124569,0.15677463658433313
Chama,2017,443738.70368583756,9632006.998062912,0.2165946874315625
Chama,2018,443097.8284296804,6408752.561572505,0.14442626952166507
Chama,2019,442506.9847442524,5908436.854279403,0.13334384587752662
Chama,2020,441320.29387673474,11866908.675176164,0.2681744940598997
Chama,2021,440129.8459183054,11904479.58429338,0.26974693322438564
Chama,2022,438688.57298380596,14412729.344994161,0.3274653941025707
Chavuma,2001,39948.190007818026,812516.477063467,0.20297971779262464
Chavuma,2002,39184.93333179603,7632566.760219919,1.9106164155938465
Chavuma,2003,39161.071316111,238620.15685029872,0.0608958945597271
Chavuma,2004,39006.612632605764,1544586.8350523706,0.3944189428793594
Chavuma,2005,38951.01666481402,555959.6779174805,0.14252959700806006
Chavuma,2006,38367.74596096126,5832707.038527545,1.4974466748120743
Chavuma,2007,37889.25742738865,4784885.335726151,1.2471113994016527
Chavuma,2008,37259.20655826325,6300508.691254021,1.6628746824422143
Chavuma,2009,36871.491391100426,3877151.6716282265,1.0405888986297702
Chavuma,2010,35718.076438737524,11534149.523628982,3.1282026000209338
Chavuma,2011,35497.90067346811,2201757.652694164,0.6164267150473645
Chavuma,2012,35212.99332137233,2849073.5209577973,0.8026033841170941
Chavuma,2013,35144.44895794893,685443.6342340207,0.19465645194610437
Chavuma,2014,35043.79133396544,1006576.239834894,0.28641116013492873
Chavuma,2015,34972.49218654098,712991.4742446002,0.2034572878972569
Chavuma,2016,34774.90442893844,1975877.5760253905,0.5649804896620433
Chavuma,2017,34463.84329520207,3110611.337363807,0.8944988889100343
Chavuma,2018,34159.234851786154,3046084.434159103,0.8838493165337622
Chavuma,2019,34065.024793657874,942100.5812827914,0.27579674584939656
Chavuma,2020,33818.38770437836,2466370.892795219,0.7240185227325596
Chavuma,2021,33590.13316694389,2282545.3743446497,0.6749421037742542
Chavuma,2022,33420.125351702336,1700078.1524155561,0.5061242668988899
Chibombo,2001,73634.34095469755,6155798.663462681,0.8290646771596305
Chibombo,2002,73470.89647669603,1634444.780015175,0.2219677339165354
Chibombo,2003,73153.90968722636,3169867.894696643,0.4314453813289296
Chibombo,2004,72948.80010915101,2051095.7807535809,0.28038088319860904
Chibombo,2005,71569.70704778802,13790930.613629987,1.8904945102585717
Chibombo,2006,70783.37001799038,7863370.297976267,1.0987009200311233
Chibombo,2007,70662.2096262343,1211603.9175608915,0.17117070256091915
Chibombo,2008,69577.9963795537,10842132.46680597,1.534360802493315
Chibombo,2009,68459.53343563121,11184629.439224783,1.607495188308055
Chibombo,2010,67273.73895004693,11857944.855842859,1.7321100890925936
Chibombo,2011,67128.54496835891,1451939.81688017,0.21582564601594173
Chibombo,2012,66910.7563519609,2177886.1639801622,0.3244351810406006
Chibombo,2013,66264.41127425747,6463450.777034267,0.9659808272134183
Chibombo,2014,64596.05168233974,16683595.919177245,2.5177309506496015
Chibombo,2015,63925.46113439071,6705905.479490273,1.038129313609989
Chibombo,2016,62942.55022439512,9829109.09995596,1.5375890803966497
Chibombo,2017,61021.727750960206,19208224.734349146,3.0517074166633416
Chibombo,2018,59613.85669844881,14078710.525113933,2.30716353731764
Chibombo,2019,58876.248077557575,7376086.20891233,1.2373106887252037
Chibombo,2020,57873.09650612882,10031515.714287492,1.7038306688756717
Chibombo,2021,56976.27097200936,8968255.341194661,1.5496415230252822
Chibombo,2022,56483.51455729879,4927564.147105737,0.864844971957974
Chienge,2001,128385.41587704227,1980660.2843752392,0.1540369147750408
Chienge,2002,127596.20268884466,7892131.8819761975,0.6147218379955771
Chienge,2003,127367.58758877341,2286151.0007123165,0.179170770958389
Chienge,2004,126365.54234910508,10020452.396683518,0.7867348818002384
Chienge,2005,125510.23062706151,8553117.220435528,0.6768551823096023
Chienge,2006,125132.63785663893,3775927.704225787,0.3008462087401863
Chienge,2007,123478.20223783333,16544356.188056018,1.3221455626157612
Chienge,2008,121877.1533116278,16010489.26205528,1.2966247460598124
Chienge,2009,120594.77211139922,12823812.002285827,1.0521916252422314
Chienge,2010,115410.88316617465,51838889.452245615,4.298601717523835
Chienge,2011,115237.15441195438,1737287.5422028187,0.15053065140324598
Chienge,2012,113483.9443918988,17532100.20055578,1.521393016863409
Chienge,2013,112199.7605609608,12841838.309380025,1.131599573683549
Chienge,2014,111364.93688191574,8348236.790450511,0.744051212650736
Chienge,2015,110420.65648913238,9442803.927833468,0.847915348602587
Chienge,2016,109653.8123468308,7668441.423015758,0.6944752609554071
Chienge,2017,108609.91036602182,10439019.808089672,0.951997890877834
