,district,year,population,pop_growth
1518,Chipangali,2013,127473.78125,0.020454629742376662
1633,Chipangali,2014,128895.9453125,0.011156522137763192
1748,Chipangali,2015,132025.21875,0.024277516487530182
1863,Chipangali,2016,132616.015625,0.004474878970802676
1978,Chipangali,2017,134495.421875,0.014171789441438376
2093,Chipangali,2018,136181.046875,0.012532954479050007
2208,Chipangali,2019,137827.75,0.012092013997450746
2323,Chipangali,2020,139023.125,0.00867296317323607
24,Chipata,2000,197260.234375,
139,Chipata,2001,199578.84375,0.011754063774416013
254,Chipata,2002,202345.078125,0.01386035875859215
369,Chipata,2003,208932.890625,0.03255731526086514
484,Chipata,2004,211933.203125,0.014360173216504624
599,Chipata,2005,216500.71875,0.021551675516865654
714,Chipata,2006,222978.296875,0.02991943011736531
829,Chipata,2007,225233.84375,0.010115544457066417
944,Chipata,2008,228647.234375,0.015154874454785361
1059,Chipata,2009,234855.21875,0.02715092702507138
1174,Chipata,2010,238680.921875,0.016289623647121942
1289,Chipata,2011,246501.78125,0.03276700673670052
1404,Chipata,2012,250787.453125,0.017385967165298055
1519,Chipata,2013,256477.03125,0.02268685316631114
1634,Chipata,2014,262897.1875,0.02503209047106436
1749,Chipata,2015,266611.0625,0.01412672016508365
1864,Chipata,2016,273768.1875,0.026844816313651654
1979,Chipata,2017,278069.0,0.015709686867835915
2094,Chipata,2018,281538.375,0.012476669459738465
2209,Chipata,2019,287635.59375,0.021656794566637716
2324,Chipata,2020,291425.1875,0.013174981929718221
37,Chipili,2000,27775.103515625,
152,Chipili,2001,28074.0390625,0.01076271585115185
267,Chipili,2002,28571.0625,0.017704023150836967
382,Chipili,2003,29022.26171875,0.01579217499349217
497,Chipili,2004,29408.755859375,0.013317161300881786
612,Chipili,2005,29888.404296875,0.01630971537162451
727,Chipili,2006,30257.24609375,0.01234063194579993
842,Chipili,2007,30669.8359375,0.013636067290182963
957,Chipili,2008,30789.947265625,0.003916269013299223
1072,Chipili,2009,31246.11328125,0.014815420490644327
1187,Chipili,2010,31770.404296875,0.016779399437805154
1302,Chipili,2011,32319.544921875,0.017284659643252098
1417,Chipili,2012,32595.359375,0.00853398319164822
1532,Chipili,2013,33083.01171875,0.014960790526642231
1647,Chipili,2014,33457.734375,0.011326739519232465
1762,Chipili,2015,33821.1953125,0.010863286002162242
1877,Chipili,2016,33960.46875,0.004117933627512116
1992,Chipili,2017,34292.4140625,0.009774462035362808
2107,Chipili,2018,34624.11328125,0.009672670408839013
2222,Chipili,2019,34975.5859375,0.010151094799020655
2337,Chipili,2020,35212.640625,0.006777718832891244
47,Chirundu,2000,26149.611328125,
162,Chirundu,2001,25985.220703125,-0.006286541812695723
277,Chirundu,2002,28627.544921875,0.10168565620195924
392,Chirundu,2003,28865.6484375,0.008317287293576392
507,Chirundu,2004,30018.96875,0.0399547689010753
622,Chirundu,2005,30903.35546875,0.02946092939152023
737,Chirundu,2006,32076.00390625,0.03794566705501623
852,Chirundu,2007,33256.67578125,0.036808571243812205
967,Chirundu,2008,36002.91796875,0.08257717053754132
1082,Chirundu,2009,36463.703125,0.012798550291116761
1197,Chirundu,2010,38283.0390625,0.04989443697649665
1312,Chirundu,2011,39954.20703125,0.04365295989228257
1427,Chirundu,2012,39014.109375,-0.02352937840850422
1542,Chirundu,2013,41925.0625,0.07461283037426769
1657,Chirundu,2014,49194.65625,0.17339494127170352
1772,Chirundu,2015,50455.9140625,0.025638106018882834
1887,Chirundu,2016,53250.02734375,0.05537731964956416
2002,Chirundu,2017,54702.24609375,0.02727169961106979
2117,Chirundu,2018,57439.89453125,0.05004636249868333
2232,Chirundu,2019,58569.1328125,0.019659476927410546
2347,Chirundu,2020,60383.30859375,0.030974946941041415
1,Chisamba,2000,97453.3203125,
116,Chisamba,2001,98511.9375,0.010862812925258591
231,Chisamba,2002,99988.703125,0.014990727646585933
346,Chisamba,2003,101538.1875,0.015496594380896456
461,Chisamba,2004,102473.265625,0.009209127600391831
576,Chisamba,2005,105122.7109375,0.02585499053182927
691,Chisamba,2006,105869.6640625,0.007105535220111481
806,Chisamba,2007,107227.515625,0.012825690669032497
921,Chisamba,2008,108473.96875,0.011624377546516573
1036,Chisamba,2009,110297.828125,0.016813797780400597
1151,Chisamba,2010,112896.2578125,0.023558303292746663
1266,Chisamba,2011,115839.8984375,0.02607385472323487
1381,Chisamba,2012,116651.0234375,0.0070021211252842
1496,Chisamba,2013,118103.125,0.012448253943335708
1611,Chisamba,2014,121132.4453125,0.025649789643584775
1726,Chisamba,2015,124197.5625,0.025303849679518597
1841,Chisamba,2016,124944.5625,0.006014610793992015
1956,Chisamba,2017,126700.6328125,0.014054795801938136
2071,Chisamba,2018,128252.625,0.012249285209149141
2186,Chisamba,2019,129114.7421875,0.006722023720762138
2301,Chisamba,2020,131010.0859375,0.014679530144184438
2,Chitambo,2000,71158.1796875,
117,Chitambo,2001,72652.6328125,0.021001845909536687
232,Chitambo,2002,73601.34375,0.013058176982359448
347,Chitambo,2003,75146.2421875,0.0209900846749147
462,Chitambo,2004,75881.8671875,0.009789245324663298
577,Chitambo,2005,77703.4609375,0.024005652700913815
692,Chitambo,2006,78591.828125,0.011432787893637775
807,Chitambo,2007,79041.4140625,0.005720517619019372
922,Chitambo,2008,79729.0234375,0.008699355687846078
1037,Chitambo,2009,80781.90625,0.013205765819085391
1152,Chitambo,2010,83293.65625,0.031092977581226533
1267,Chitambo,2011,82748.3515625,-0.006546773332452904
1382,Chitambo,2012,85709.46875,0.03578460635875591
1497,Chitambo,2013,86756.3203125,0.012213954627970924
1612,Chitambo,2014,88305.7578125,0.0178596498147785
1727,Chitambo,2015,89538.84375,0.013963822609599497
1842,Chitambo,2016,89926.5625,0.004330173740935805
1957,Chitambo,2017,91078.0625,0.012804892881344232
2072,Chitambo,2018,92084.421875,0.011049415714129873
2187,Chitambo,2019,93352.625,0.013772178824356551
2302,Chitambo,2020,93763.3515625,0.004399732332111661
87,Choma,2000,163341.90625,
202,Choma,2001,166997.796875,0.02238182906598718
317,Choma,2002,170121.484375,0.018704962331557606
432,Choma,2003,173529.15625,0.020030814376674755
547,Choma,2004,177410.078125,0.022364667464923382
662,Choma,2005,181696.640625,0.024161888351008853
777,Choma,2006,185922.859375,0.023259751723877065
892,Choma,2007,190117.875,0.022563205186828528
1007,Choma,2008,194558.609375,0.023357795131047077
1122,Choma,2009,199413.21875,0.02495191238565564
1237,Choma,2010,204935.28125,0.027691556931954908
1352,Choma,2011,210526.984375,0.02728521458527533
1467,Choma,2012,215354.875,0.0229324076404398
1582,Choma,2013,221836.0,0.030095093041195398
1697,Choma,2014,229374.328125,0.03398153647288993
1812,Choma,2015,235201.046875,0.02540266296420346
1927,Choma,2016,242292.21875,0.030149406089883035
2042,Choma,2017,248904.5,0.027290522510847293
2157,Choma,2018,256098.28125,0.02890177256739035
2272,Choma,2019,262435.28125,0.024744406596832746
2387,Choma,2020,269740.65625,0.02783686311232203
48,Chongwe,2000,134889.90625,
163,Chongwe,2001,140301.703125,0.04012010257439114
278,Chongwe,2002,143753.546875,0.024603006756978685
393,Chongwe,2003,150127.890625,0.044342166774798075
508,Chongwe,2004,154778.578125,0.0309781712154793
623,Chongwe,2005,159612.9375,0.031234034021786483
738,Chongwe,2006,165893.71875,0.039350076180384885
853,Chongwe,2007,170893.5625,0.03013883700765496
968,Chongwe,2008,175841.953125,0.028955980275734428
1083,Chongwe,2009,178218.53125,0.013515421563309094
1198,Chongwe,2010,185530.953125,0.04103064829292258
1313,Chongwe,2011,194522.515625,0.04846394819058575
1428,Chongwe,2012,203436.484375,0.045824868763183924
1543,Chongwe,2013,209574.65625,0.030172424055880498
1658,Chongwe,2014,215153.296875,0.026618870453235077
1773,Chongwe,2015,223855.9375,0.04044855808115311
1888,Chongwe,2016,229194.9375,0.02385016032911791
2003,Chongwe,2017,235687.859375,0.02832925520006313
2118,Chongwe,2018,242089.03125,0.027159531644840307
2233,Chongwe,2019,249003.359375,0.028561096259911656
2348,Chongwe,2020,256216.046875,0.02896622566901863
88,Gwembe,2000,35940.97265625,
203,Gwembe,2001,37606.62890625,0.046344217390297926
318,Gwembe,2002,39171.859375,0.04162113207892104
433,Gwembe,2003,40839.42578125,0.0425705195734023
548,Gwembe,2004,42572.19140625,0.04242874604264246
663,Gwembe,2005,44338.859375,0.041498168414479064
778,Gwembe,2006,46041.84375,0.03840839387853556
893,Gwembe,2007,48076.18359375,0.04418458684661175
1008,Gwembe,2008,49948.328125,0.03894120521441269
1123,Gwembe,2009,52198.1484375,0.04504295532914804
1238,Gwembe,2010,54365.83203125,0.04152797864747049
1353,Gwembe,2011,56310.41015625,0.03576838709802588
1468,Gwembe,2012,59148.5,0.050400802194032535
1583,Gwembe,2013,61501.84765625,0.03978710628756432
1698,Gwembe,2014,63842.44140625,0.038057291596867104
1813,Gwembe,2015,66940.46875,0.04852614147438783
1928,Gwembe,2016,69238.0703125,0.03432305756747489
2043,Gwembe,2017,71915.796875,0.03867419398626093
2158,Gwembe,2018,74670.40625,0.03830325873726892
2273,Gwembe,2019,77452.2265625,0.03725465619118684
2388,Gwembe,2020,80069.9609375,0.033798051924144756
64,Ikelenge,2000,22800.51171875,
179,Ikelenge,2001,23742.865234375,0.04133036693426728
294,Ikelenge,2002,24686.8984375,0.03976071100964784
409,Ikelenge,2003,25632.388671875,0.038299271849345784
524,Ikelenge,2004,26575.1328125,0.036779410327037576
639,Ikelenge,2005,27579.625,0.03779820009130952
754,Ikelenge,2006,28596.09375,0.03685578574763082
869,Ikelenge,2007,29682.55859375,0.037993470480561786
984,Ikelenge,2008,30760.369140625,0.036311241278976114
1099,Ikelenge,2009,31966.62890625,0.039214736341765866
1214,Ikelenge,2010,33219.26171875,0.039185640005195754
1329,Ikelenge,2011,34533.65234375,0.03956712331924339
1444,Ikelenge,2012,35932.5859375,0.040509285835883535
1559,Ikelenge,2013,37277.88671875,0.03743957597680203
1674,Ikelenge,2014,38671.39453125,0.037381620450042785
1789,Ikelenge,2015,40369.50390625,0.04391125263475493
1904,Ikelenge,2016,41719.7109375,0.03344621312131024
2019,Ikelenge,2017,43196.15625,0.035389634283704785
2134,Ikelenge,2018,44581.453125,0.03206991073424503
2249,Ikelenge,2019,46096.45703125,0.03398282918239892
2364,Ikelenge,2020,47542.2890625,0.03136536133937229
56,Isoka,2000,51558.02734375,
171,Isoka,2001,53308.921875,0.0339596881699209
286,Isoka,2002,55540.484375,0.041860957256509845
401,Isoka,2003,57654.3515625,0.03805993432155774
516,Isoka,2004,59756.2109375,0.036456213937667625
631,Isoka,2005,61823.84765625,0.034601201888663446
746,Isoka,2006,64782.69140625,0.047859262439497785
861,Isoka,2007,67344.3359375,0.039542113420173
976,Isoka,2008,70019.4609375,0.03972308825619275
1091,Isoka,2009,72576.0078125,0.036511947403908174
1206,Isoka,2010,75357.4375,0.03832436877329792
1321,Isoka,2011,77954.90625,0.03446864485008527
1436,Isoka,2012,82763.9296875,0.061689811056632404
1551,Isoka,2013,86059.890625,0.03982363995939875
1666,Isoka,2014,88435.2578125,0.027601327055486236
1781,Isoka,2015,91582.6015625,0.03558924152935683
1896,Isoka,2016,95146.125,0.038910484925109845
2011,Isoka,2017,98561.9765625,0.03590111066005042
2126,Isoka,2018,101452.4765625,0.029326725181562097
2241,Isoka,2019,104884.671875,0.033830571995801195
2356,Isoka,2020,108185.34375,0.03146953521419871
3,Itezhi-tezhi,2000,51083.765625,
118,Itezhi-tezhi,2001,52810.48046875,0.0338016358548352
233,Itezhi-tezhi,2002,55910.71875,0.0587049815440428
348,Itezhi-tezhi,2003,58254.75,0.04192454152630609
463,Itezhi-tezhi,2004,60473.87890625,0.0380935272445595
578,Itezhi-tezhi,2005,63162.01953125,0.04445126844215341
693,Itezhi-tezhi,2006,65677.5625,0.03982682927839898
808,Itezhi-tezhi,2007,68397.3828125,0.041411712142940704
923,Itezhi-tezhi,2008,70982.8984375,0.0378013824313681
1038,Itezhi-tezhi,2009,73931.546875,0.04154026536541422
1153,Itezhi-tezhi,2010,77189.140625,0.04406229664729988
1268,Itezhi-tezhi,2011,80509.7421875,0.04301902489926834
1383,Itezhi-tezhi,2012,84222.7734375,0.04611903043177912
1498,Itezhi-tezhi,2013,87913.421875,0.043820077241207844
1613,Itezhi-tezhi,2014,91629.328125,0.04226779222953558
1728,Itezhi-tezhi,2015,95433.9765625,0.041522168887997646
1843,Itezhi-tezhi,2016,98732.1875,0.034560133154883266
1958,Itezhi-tezhi,2017,102633.1796875,0.0395108453107047
2073,Itezhi-tezhi,2018,106520.53125,0.03787616806120897
2188,Itezhi-tezhi,2019,110190.546875,0.03445359858736152
2303,Itezhi-tezhi,2020,114242.3359375,0.03677075009979158
65,Kabompo,2000,31408.08203125,
180,Kabompo,2001,32701.62109375,0.041184910979695344
295,Kabompo,2002,33706.33203125,0.0307235820089673
410,Kabompo,2003,35183.2734375,0.043817921359128986
525,Kabompo,2004,36556.33984375,0.03902611303888848
640,Kabompo,2005,37702.5390625,0.03135432112867731
755,Kabompo,2006,39379.20703125,0.04447095634515663
870,Kabompo,2007,40625.98828125,0.03166090289757739
985,Kabompo,2008,42062.125,0.03535019773076664
1100,Kabompo,2009,43853.0390625,0.04257783130310222
1215,Kabompo,2010,45323.25390625,0.03352595111263845
1330,Kabompo,2011,47055.65625,0.03822325615308708
1445,Kabompo,2012,48958.71875,0.040442800115023436
1560,Kabompo,2013,50787.75,0.037358642070264514
1675,Kabompo,2014,52940.39453125,0.04238511316705318
1790,Kabompo,2015,54826.34375,0.03562401140846716
1905,Kabompo,2016,56791.8828125,0.03585026700781957
2020,Kabompo,2017,58827.140625,0.03583712516134496
2135,Kabompo,2018,60691.9296875,0.03169946801234658
2250,Kabompo,2019,62561.9140625,0.030811087810660664
2365,Kabompo,2020,64540.859375,0.031631789758270745
4,Kabwe,2000,189659.984375,
119,Kabwe,2001,191999.625,0.012335973941524747
234,Kabwe,2002,194264.46875,0.011796084237143623
349,Kabwe,2003,196244.546875,0.010192693176167777
464,Kabwe,2004,198330.75,0.010630629784219359
579,Kabwe,2005,200022.890625,0.008531912600542313
694,Kabwe,2006,202059.046875,0.010179616161118954
809,Kabwe,2007,203990.703125,0.00955986024815303
924,Kabwe,2008,206089.03125,0.010286390962210623
1039,Kabwe,2009,208184.171875,0.010166191826378457
1154,Kabwe,2010,210001.390625,0.00872889967394408
1269,Kabwe,2011,212512.484375,0.011957510102797775
1384,Kabwe,2012,213894.953125,0.006505353104622857
1499,Kabwe,2013,216199.296875,0.010773249748690095
1614,Kabwe,2014,218772.046875,0.011899899940412295
1729,Kabwe,2015,220525.078125,0.00801304954193549
1844,Kabwe,2016,222350.875,0.00827931630508294
1959,Kabwe,2017,223627.296875,0.005740575003359005
2074,Kabwe,2018,224888.5625,0.005640034300933294
2189,Kabwe,2019,225846.15625,0.0042580811551944375
2304,Kabwe,2020,226891.25,0.004627458653062577
49,Kafue,2000,95081.6796875,
164,Kafue,2001,97348.109375,0.023836660174167745
279,Kafue,2002,99292.953125,0.019978238534742898
394,Kafue,2003,100631.3203125,0.01347897454329039
509,Kafue,2004,101575.625,0.009383805007899815
624,Kafue,2005,105616.203125,0.039779013173682154
739,Kafue,2006,106816.9453125,0.011368920222202039
854,Kafue,2007,108882.0859375,0.019333455183148107
969,Kafue,2008,111440.9140625,0.023500910209130366
1084,Kafue,2009,113603.2578125,0.019403499766587284
1199,Kafue,2010,117160.6953125,0.031314572913670125
1314,Kafue,2011,119707.28125,0.021735838377431538
1429,Kafue,2012,121236.4921875,0.012774585819106177
1544,Kafue,2013,124864.59375,0.029925820988691232
1659,Kafue,2014,129745.9765625,0.03909341043685566
1774,Kafue,2015,130688.0078125,0.007260581599200622
1889,Kafue,2016,134469.578125,0.028935863173654486
2004,Kafue,2017,137148.9375,0.01992539437068297
2119,Kafue,2018,139632.59375,0.018109190601640623
2234,Kafue,2019,141102.84375,0.010529418386600709
2349,Kafue,2020,143737.84375,0.018674322430159984
99,Kalabo,2000,86611.1328125,
214,Kalabo,2001,86958.3125,0.004008488011022715
329,Kalabo,2002,87249.859375,0.0033527200174221505
444,Kalabo,2003,87643.984375,0.004517199257663584
559,Kalabo,2004,87723.375,0.0009058308515541569
674,Kalabo,2005,88005.9453125,0.003221151859467364
789,Kalabo,2006,88177.5234375,0.001949619703427441
904,Kalabo,2007,88529.9609375,0.003996908580107705
1019,Kalabo,2008,88378.1171875,-0.0017151679317604085
1134,Kalabo,2009,88727.7421875,0.003956013220537846
1249,Kalabo,2010,89242.296875,0.00579925370367973
1364,Kalabo,2011,89265.8515625,0.0002639408478357641
1479,Kalabo,2012,90039.4296875,0.008666002860661326
1594,Kalabo,2013,89842.1953125,-0.002190533366154601
1709,Kalabo,2014,89519.6640625,-0.0035899751656571777
1824,Kalabo,2015,89933.9375,0.004627736730678178
1939,Kalabo,2016,89605.6796875,-0.003649988220520206
2054,Kalabo,2017,89750.2734375,0.001613667241901151
2169,Kalabo,2018,89375.4609375,-0.0041761711206486085
2284,Kalabo,2019,89351.5078125,-0.0002680056108101958
2399,Kalabo,2020,88884.5546875,-0.005226024008233687
89,Kalomo,2000,123903.703125,
204,Kalomo,2001,129732.6328125,0.04704403129597745
319,Kalomo,2002,134236.40625,0.034715810046106244
434,Kalomo,2003,138948.578125,0.03510353120020304
549,Kalomo,2004,143489.765625,0.0326825042852521
664,Kalomo,2005,148711.3125,0.036389681537609686
779,Kalomo,2006,154184.796875,0.036806106294031915
894,Kalomo,2007,159318.5,0.033295780317186274
1009,Kalomo,2008,166095.390625,0.04253674636027838
1124,Kalomo,2009,171838.015625,0.03457425867383246
1239,Kalomo,2010,178276.3125,0.03746724408788693
1354,Kalomo,2011,186468.53125,0.045952368181274794
1469,Kalomo,2012,192234.109375,0.030919845221873077
1584,Kalomo,2013,199947.53125,0.04012514688510915
1699,Kalomo,2014,205376.53125,0.02715212318981819
1814,Kalomo,2015,211863.671875,0.03158657216341498
1929,Kalomo,2016,221180.234375,0.04397432753594854
2044,Kalomo,2017,228873.578125,0.03478314313093778
2159,Kalomo,2018,236469.265625,0.03318726242769521
2274,Kalomo,2019,244559.90625,0.03421434326197126
2389,Kalomo,2020,253027.84375,0.03462520749964515
13,Kalulushi,2000,56953.2890625,
128,Kalulushi,2001,58926.1015625,0.03463913204090918
243,Kalulushi,2002,61063.30078125,0.03626914325026531
358,Kalulushi,2003,61869.20703125,0.013197882192563348
473,Kalulushi,2004,61163.09765625,-0.011412937208704621
588,Kalulushi,2005,64886.37890625,0.06087463507694868
703,Kalulushi,2006,66264.7734375,0.02124320318816908
818,Kalulushi,2007,69084.3046875,0.042549473932169235
933,Kalulushi,2008,70111.71875,0.014871888298615188
1048,Kalulushi,2009,69036.5,-0.015335792206634502
1163,Kalulushi,2010,71650.2734375,0.03786074667023964
1278,Kalulushi,2011,73044.109375,0.01945332335285266
1393,Kalulushi,2012,78857.109375,0.07958205048618949
1508,Kalulushi,2013,78893.1328125,0.0004568191477662964
1623,Kalulushi,2014,80362.5,0.01862477930737194
1738,Kalulushi,2015,82645.6640625,0.028410814279048013
1853,Kalulushi,2016,84669.3125,0.0244858391599303
1968,Kalulushi,2017,86835.0234375,0.025578463714347466
2083,Kalulushi,2018,88338.7265625,0.017316781472193732
2198,Kalulushi,2019,90237.484375,0.021494059133359
2313,Kalulushi,2020,91153.046875,0.010146143881795133
66,Kalumbila,2000,44266.87890625,
181,Kalumbila,2001,46651.67578125,0.053873165082422236
296,Kalumbila,2002,49245.5859375,0.05560165016178331
411,Kalumbila,2003,50402.69140625,0.023496633184922233
526,Kalumbila,2004,51534.6171875,0.02245764560718766
641,Kalumbila,2005,54000.01171875,0.047839581737457726
756,Kalumbila,2006,55691.62890625,0.03132623741473428
871,Kalumbila,2007,58257.59375,0.04607451593972023
986,Kalumbila,2008,62493.4765625,0.07270953947527237
1101,Kalumbila,2009,65484.9921875,0.047869246352588046
1216,Kalumbila,2010,67547.7421875,0.031499583814468934
1331,Kalumbila,2011,71038.046875,0.05167167065053868
1446,Kalumbila,2012,72132.5546875,0.015407346635330832
1561,Kalumbila,2013,75442.859375,0.045891965172192295
1676,Kalumbila,2014,78069.6953125,0.03481888092871621
1791,Kalumbila,2015,80761.84375,0.0344839111607107
1906,Kalumbila,2016,84299.7265625,0.04380636508809266
2021,Kalumbila,2017,87021.5546875,0.032287508346566574
2136,Kalumbila,2018,90289.1953125,0.03754978449574131
2251,Kalumbila,2019,92639.1015625,0.026026439175437677
2366,Kalumbila,2020,95540.1328125,0.0313154078684883
57,Kanchibiya,2000,42328.91796875,
172,Kanchibiya,2001,44175.984375,0.043636041148361615
287,Kanchibiya,2002,46144.09765625,0.04455165649605286
402,Kanchibiya,2003,47822.17578125,0.036366040517268994
517,Kanchibiya,2004,50487.11328125,0.05572597767592291
632,Kanchibiya,2005,52331.7421875,0.036536628584289854
747,Kanchibiya,2006,53997.953125,0.03183939360417454
862,Kanchibiya,2007,56198.421875,0.04075096596543437
977,Kanchibiya,2008,57086.015625,0.015793926597694075
1092,Kanchibiya,2009,59237.47265625,0.03768798728891842
1207,Kanchibiya,2010,62029.08203125,0.04712573392858044
1322,Kanchibiya,2011,63240.2734375,0.019526186211167973
1437,Kanchibiya,2012,67002.34375,0.059488520653188326
1552,Kanchibiya,2013,69965.5703125,0.04422571505194539
1667,Kanchibiya,2014,71866.9375,0.02717575486067747
1782,Kanchibiya,2015,75503.0703125,0.05059534939136645
1897,Kanchibiya,2016,77532.140625,0.026874010607805365
2012,Kanchibiya,2017,80601.8515625,0.03959275356973935
2127,Kanchibiya,2018,83779.2265625,0.039420620474657664
2242,Kanchibiya,2019,86957.3515625,0.03793452303631728
2357,Kanchibiya,2020,89131.75,0.025005343406039326
100,Kaoma,2000,97912.9453125,
215,Kaoma,2001,99017.6484375,0.011282503263222443
330,Kaoma,2002,97848.9453125,-0.011802977988693453
445,Kaoma,2003,99365.46875,0.015498618126712271
560,Kaoma,2004,101483.53125,0.02131588092568637
675,Kaoma,2005,100732.4765625,-0.007400754371167939
790,Kaoma,2006,103151.8359375,0.024017669946781117
905,Kaoma,2007,103245.46875,0.0009077183323884519
1020,Kaoma,2008,102429.5,-0.007903191877367544
1135,Kaoma,2009,106384.734375,0.0386142114820438
1250,Kaoma,2010,104848.703125,-0.014438455470364597
1365,Kaoma,2011,107722.859375,0.02741241583668841
1480,Kaoma,2012,106014.5703125,-0.015858185276656833
1595,Kaoma,2013,103390.0234375,-0.024756473258945477
1710,Kaoma,2014,105196.7578125,0.017474939214925156
1825,Kaoma,2015,104450.1171875,-0.007097563085839531
1940,Kaoma,2016,106245.0546875,0.017184638450695955
2055,Kaoma,2017,106577.671875,0.003130660419709219
2170,Kaoma,2018,106097.1640625,-0.004508522320355812
2285,Kaoma,2019,105751.40625,-0.003258878930037401
2400,Kaoma,2020,106638.296875,0.008386561053413955
5,Kapiri Mposhi,2000,156642.609375,
120,Kapiri Mposhi,2001,161270.140625,0.029541969892251663
235,Kapiri Mposhi,2002,166617.21875,0.03315603312725757
350,Kapiri Mposhi,2003,170182.140625,0.02139587913989227
465,Kapiri Mposhi,2004,173953.109375,0.02215842823548342
580,Kapiri Mposhi,2005,178582.828125,0.026614751335197306
695,Kapiri Mposhi,2006,183874.53125,0.029631645889805602
810,Kapiri Mposhi,2007,185955.328125,0.011316395266133483
925,Kapiri Mposhi,2008,191954.296875,0.03226026815412064
1040,Kapiri Mposhi,2009,195994.578125,0.021048141749236304
1155,Kapiri Mposhi,2010,202431.484375,0.03284226692176517
1270,Kapiri Mposhi,2011,211837.234375,0.046463869140909164
1385,Kapiri Mposhi,2012,218414.234375,0.031047421948292797
1500,Kapiri Mposhi,2013,222581.921875,0.019081574568278414
1615,Kapiri Mposhi,2014,227200.015625,0.020747838418762043
1730,Kapiri Mposhi,2015,233575.171875,0.028059664663590445
1845,Kapiri Mposhi,2016,237571.34375,0.017108718546244184
1960,Kapiri Mposhi,2017,241973.484375,0.018529762704177166
2075,Kapiri Mposhi,2018,248393.640625,0.02653247841011508
2190,Kapiri Mposhi,2019,252510.25,0.01657292579891312
2305,Kapiri Mposhi,2020,256965.84375,0.01764519955130539
75,Kaputa,2000,46488.05859375,
190,Kaputa,2001,48338.8046875,0.03981121496002449
305,Kaputa,2002,50742.55078125,0.049727048678379626
420,Kaputa,2003,52510.20703125,0.034835778311979704
535,Kaputa,2004,54642.94140625,0.04061561543131531
650,Kaputa,2005,56980.4296875,0.042777497350877214
765,Kaputa,2006,58948.359375,0.034536940108960135
880,Kaputa,2007,60995.87109375,0.03473398989316645
995,Kaputa,2008,63792.4921875,0.04584935084297137
1110,Kaputa,2009,66252.6640625,0.038565225948047566
1225,Kaputa,2010,68737.9296875,0.03751193495638905
1340,Kaputa,2011,72290.9609375,0.051689529582182425
1455,Kaputa,2012,74235.625,0.026900514770875406
1570,Kaputa,2013,76602.28125,0.03188033036699034
1685,Kaputa,2014,80404.7578125,0.0496392078728074
1800,Kaputa,2015,83757.359375,0.041696556941544394
1915,Kaputa,2016,87210.7265625,0.04123061201151912
2030,Kaputa,2017,90717.7421875,0.04021312243611086
2145,Kaputa,2018,94102.6796875,0.03731284992745776
2260,Kaputa,2019,97565.796875,0.03680147259355904
2375,Kaputa,2020,100741.125,0.0325455049485035
76,Kasama,2000,187488.015625,
191,Kasama,2001,192277.765625,0.025546966210256983
306,Kasama,2002,196584.9375,0.022400779731340803
421,Kasama,2003,201429.0625,0.024641384338004002
536,Kasama,2004,206609.03125,0.025716094220515018
651,Kasama,2005,212320.875,0.02764566348064701
766,Kasama,2006,218240.921875,0.027882547465010177
881,Kasama,2007,224396.359375,0.028204781427406234
996,Kasama,2008,231040.15625,0.02960741829103042
1111,Kasama,2009,239610.75,0.03709568885820036
1226,Kasama,2010,247787.265625,0.034124160226534084
1341,Kasama,2011,255654.53125,0.03175008047793004
1456,Kasama,2012,266718.78125,0.04327812984930235
1571,Kasama,2013,276717.28125,0.03748704891774479
1686,Kasama,2014,287492.96875,0.038941144012847984
1801,Kasama,2015,298713.71875,0.039029650181662046
1916,Kasama,2016,310153.25,0.038295968788678136
2031,Kasama,2017,322228.5,0.03893317255260098
2146,Kasama,2018,334020.6875,0.03659573097972402
2261,Kasama,2019,347236.90625,0.0395670664859642
2376,Kasama,2020,360629.5,0.038569038915344356
67,Kasempa,2000,56636.44921875,
182,Kasempa,2001,58203.48828125,0.027668384655392897
297,Kasempa,2002,59772.01953125,0.02694909353921493
412,Kasempa,2003,61386.6484375,0.027013122844307347
527,Kasempa,2004,63042.86328125,0.026980049993057476
642,Kasempa,2005,64588.66015625,0.02451977582464515
757,Kasempa,2006,66287.5,0.026302447513855354
872,Kasempa,2007,67980.1328125,0.025534720912690823
987,Kasempa,2008,69708.1484375,0.025419421138322074
1102,Kasempa,2009,71515.5546875,0.025928191904573517
1217,Kasempa,2010,73388.625,0.026191089766201436
1332,Kasempa,2011,75381.9765625,0.027161587541665977
1447,Kasempa,2012,77331.6171875,0.0258634850650743
1562,Kasempa,2013,79456.59375,0.027478755000658106
1677,Kasempa,2014,81568.6484375,0.026581238734513457
1792,Kasempa,2015,83574.15625,0.024586748106249168
1907,Kasempa,2016,85698.6953125,0.025421005222532544
2022,Kasempa,2017,87554.84375,0.02165900461764969
2137,Kasempa,2018,89447.890625,0.021621269525708087
2252,Kasempa,2019,91336.1875,0.021110580269762425
2367,Kasempa,2020,93093.328125,0.01923816477450413
25,Kasenengwa,2000,96602.53125,
140,Kasenengwa,2001,99053.2890625,0.025369498922938494
255,Kasenengwa,2002,101406.0703125,0.023752681735943693
370,Kasenengwa,2003,101355.2578125,-0.0005010794703257382
485,Kasenengwa,2004,103551.5078125,0.021668831468643734
600,Kasenengwa,2005,106319.5078125,0.02673065857246626
