,district,year,spei,mean_growing_period
0,Chadiza,2000,0.6807551866666667,194.25
1,Chadiza,2001,0.7164113075,162.75
2,Chadiza,2002,0.3603770375,173.3125
3,Chadiza,2003,0.23432596258333335,154.3125
4,Chadiza,2004,0.16992486625,193.1875
5,Chadiza,2005,-0.5562536058333333,132.9375
6,Chadiza,2006,-0.38068662200000003,190.6875
7,Chadiza,2007,0.19625012191666666,149.5625
8,Chadiza,2008,0.4948355523333334,165.5625
9,Chadiza,2009,0.7938063125,179.375
10,Chadiza,2010,1.915869925,161.6875
11,Chadiza,2011,1.5210839083333332,127.5
12,Chadiza,2012,1.6944936583333332,182.1875
13,Chadiza,2013,1.3196537525,151.5
14,Chadiza,2014,-0.21807727441666666,167.3125
15,Chadiza,2015,-0.9692468808333333,166.25
16,Chadiza,2016,-1.7095301083333334,164.625
17,Chadiza,2017,-1.1712153,163.125
18,Chadiza,2018,-0.8628333224999999,170.3125
19,Chadiza,2019,-0.2061271925,156.0
20,Chadiza,2020,0.2561803325,171.8125
21,Chadiza,2021,0.09977070466666667,140.8125
22,Chama,2000,-1.0049792171666667,180.6933962264151
23,Chama,2001,0.10195624666666665,144.9575471698113
24,Chama,2002,-0.6089164321666667,161.66037735849056
25,Chama,2003,0.09496918285833333,161.73584905660377
26,Chama,2004,0.56896665,173.91037735849056
27,Chama,2005,0.10472543969999999,137.0754716981132
28,Chama,2006,-0.451473355,180.4764150943396
29,Chama,2007,0.004504416916666666,152.71226415094338
30,Chama,2008,0.11409769833333333,139.83962264150944
31,Chama,2009,-0.30222364166666665,169.27830188679246
32,Chama,2010,0.8076751966666667,153.56603773584905
33,Chama,2011,0.044186275000000004,143.92924528301887
34,Chama,2012,-0.007064802691666668,179.0754716981132
35,Chama,2013,0.066995285,155.29716981132074
36,Chama,2014,-0.34738838,165.94811320754718
37,Chama,2015,-0.7211817475000001,155.12264150943398
38,Chama,2016,-1.0512852841666667,167.02830188679246
39,Chama,2017,-1.0650072400000001,158.4764150943396
40,Chama,2018,-1.0370954341666667,161.1509433962264
41,Chama,2019,-0.06591123080833333,165.25471698113208
42,Chama,2020,0.5859360558333333,159.8679245283019
43,Chama,2021,1.0943936408333335,140.47169811320754
44,Chasefu,2000,-1.1197588708333333,176.8846153846154
45,Chasefu,2001,-0.2756220665,145.96153846153845
46,Chasefu,2002,-0.7284692025,149.92307692307693
47,Chasefu,2003,-0.06305257266666667,161.26923076923077
48,Chasefu,2004,0.5415781541666667,202.1153846153846
49,Chasefu,2005,0.03158975325,132.53846153846155
50,Chasefu,2006,-0.59263539,176.69230769230768
51,Chasefu,2007,-0.22404938500000002,146.57692307692307
52,Chasefu,2008,-0.41124803000000004,134.30769230769232
53,Chasefu,2009,-0.8235842766666667,177.92307692307693
54,Chasefu,2010,0.50207020625,160.42307692307693
55,Chasefu,2011,-0.22280529466666665,143.19230769230768
56,Chasefu,2012,0.20457922416666666,180.03846153846155
57,Chasefu,2013,0.522051711,151.8846153846154
58,Chasefu,2014,-0.19663633666666666,169.6153846153846
59,Chasefu,2015,-0.8380740825,139.8846153846154
60,Chasefu,2016,-1.5757358750000001,166.03846153846155
61,Chasefu,2017,-1.5754566416666667,156.26923076923077
62,Chasefu,2018,-1.2961335999999999,162.34615384615384
63,Chasefu,2019,0.3533824458333333,163.5
64,Chasefu,2020,0.8990013341666666,161.57692307692307
65,Chasefu,2021,1.3625291966666666,125.6153846153846
66,Chavuma,2000,-0.8580083366666665,193.5185185185185
67,Chavuma,2001,-0.6230748716666666,196.38888888888889
68,Chavuma,2002,-0.9566613250000001,182.3148148148148
69,Chavuma,2003,-0.8445549575000001,185.5
70,Chavuma,2004,-0.23982124166666666,191.16666666666663
71,Chavuma,2005,-0.7663299625,188.11111111111111
72,Chavuma,2006,-0.9245100391666666,188.1296296296296
73,Chavuma,2007,-1.1572779691666668,189.72222222222223
74,Chavuma,2008,-1.4197382416666666,183.9814814814815
75,Chavuma,2009,-0.62260338,189.35185185185185
76,Chavuma,2010,0.100007238625,203.5185185185185
77,Chavuma,2011,0.8431262266666667,204.88888888888889
78,Chavuma,2012,0.9061883841666667,189.40740740740745
79,Chavuma,2013,0.50576593,191.74074074074076
80,Chavuma,2014,1.1963546708333335,180.12962962962962
81,Chavuma,2015,0.3432367289166667,171.33333333333334
82,Chavuma,2016,0.30551838808333337,169.4814814814815
83,Chavuma,2017,0.47054124875000003,171.85185185185185
84,Chavuma,2018,0.25626790616666667,181.8148148148148
85,Chavuma,2019,-0.15832891033333332,184.7037037037037
86,Chavuma,2020,0.71861418,201.2962962962963
87,Chavuma,2021,0.6989458741666666,178.46296296296296
88,Chembe,2000,-0.26219088500000004,183.95833333333331
89,Chembe,2001,1.2853031125,185.0
90,Chembe,2002,0.7983441450000001,189.875
91,Chembe,2003,1.0756586783333333,167.91666666666666
92,Chembe,2004,1.177645425,195.33333333333331
93,Chembe,2005,-0.08135249683333333,176.54166666666666
94,Chembe,2006,-0.6493625666666667,182.875
95,Chembe,2007,-0.3870092541666667,193.25
96,Chembe,2008,-0.45295245749999996,162.70833333333334
97,Chembe,2009,0.05090487983333333,201.25
98,Chembe,2010,0.7663845008333333,175.16666666666666
99,Chembe,2011,0.4006225016666667,151.125
100,Chembe,2012,1.1668667616666666,181.95833333333331
101,Chembe,2013,0.6389447908333333,195.16666666666663
102,Chembe,2014,0.23104893583333333,169.58333333333334
103,Chembe,2015,-0.6862369791666666,173.70833333333334
104,Chembe,2016,-1.2977312666666667,172.54166666666666
105,Chembe,2017,-0.8851543999999999,166.375
106,Chembe,2018,-0.46473500333333334,180.0
107,Chembe,2019,0.9559908616666667,161.875
108,Chembe,2020,0.9531987041666667,173.20833333333334
109,Chembe,2021,1.3360282083333335,163.58333333333334
110,Chibombo,2000,0.5971678196666667,173.4090909090909
111,Chibombo,2001,1.1752257874999998,159.6727272727273
112,Chibombo,2002,0.8817319916666667,104.52727272727272
113,Chibombo,2003,1.00513405,152.96363636363637
114,Chibombo,2004,0.9643556108333334,157.46363636363637
115,Chibombo,2005,-0.6340005991666667,108.44545454545457
116,Chibombo,2006,-0.04333901600000001,148.44545454545454
117,Chibombo,2007,-0.16254929333333334,149.77272727272728
118,Chibombo,2008,0.26625063983333336,154.35454545454544
119,Chibombo,2009,1.3175347641666666,161.25454545454545
120,Chibombo,2010,1.9362548000000002,152.13636363636363
121,Chibombo,2011,1.7843568916666666,120.97272727272728
122,Chibombo,2012,1.1411000908333333,174.8090909090909
123,Chibombo,2013,0.913454935,161.42727272727274
124,Chibombo,2014,0.05969725658333333,150.25454545454545
125,Chibombo,2015,-0.2090725691666667,145.56363636363636
126,Chibombo,2016,-0.5622501758333334,154.3
127,Chibombo,2017,0.209765185,151.22727272727272
128,Chibombo,2018,0.7044453501666667,170.87272727272727
129,Chibombo,2019,-0.00036566558333333415,133.02727272727273
130,Chibombo,2020,-0.20071229833333334,149.76363636363635
131,Chibombo,2021,-0.49062429083333337,142.20909090909092
132,Chiengi,2000,0.2310353985,193.5434782608696
133,Chiengi,2001,-0.19793334083333333,197.7608695652174
134,Chiengi,2002,-0.4188887691666667,196.5
135,Chiengi,2003,-0.8529751220833334,178.41304347826087
136,Chiengi,2004,-0.8314800783333333,225.9782608695652
137,Chiengi,2005,-0.44587525250000004,202.15217391304347
138,Chiengi,2006,-1.1649907566666666,228.5
139,Chiengi,2007,-0.450477175,240.15217391304347
140,Chiengi,2008,-0.3062013429166667,213.06521739130437
141,Chiengi,2009,-0.557175795,193.41304347826087
142,Chiengi,2010,-0.5406549978333334,218.08695652173915
143,Chiengi,2011,-1.2009469858333333,195.5
144,Chiengi,2012,-1.226585275,224.34782608695653
145,Chiengi,2013,-0.7949548516666667,189.7173913043478
146,Chiengi,2014,0.17729857158333331,158.6086956521739
147,Chiengi,2015,0.767625095,180.1304347826087
148,Chiengi,2016,1.1153616616666666,200.0217391304348
149,Chiengi,2017,0.43746942166666664,142.3695652173913
150,Chiengi,2018,0.27956461516666664,204.93478260869568
151,Chiengi,2019,0.5797461958333333,181.67391304347825
152,Chiengi,2020,0.7895737883333332,195.19565217391303
153,Chiengi,2021,1.0585156,188.1086956521739
154,Chifunabuli,2000,0.2482009281666667,190.1891891891892
155,Chifunabuli,2001,0.9198090611666667,182.40540540540545
156,Chifunabuli,2002,0.4178901,188.7027027027027
157,Chifunabuli,2003,0.48784752000000003,168.54054054054055
158,Chifunabuli,2004,0.8960029291666666,199.16216216216216
159,Chifunabuli,2005,0.2621143645833333,157.86486486486487
160,Chifunabuli,2006,-0.20772156500000002,180.97297297297297
161,Chifunabuli,2007,0.6241445541666667,205.27027027027023
162,Chifunabuli,2008,0.4424638760833333,172.7027027027027
163,Chifunabuli,2009,0.8437589124999999,194.75675675675677
164,Chifunabuli,2010,1.0769171466666667,183.78378378378375
165,Chifunabuli,2011,0.249372845,152.45945945945945
166,Chifunabuli,2012,0.4690855375,197.21621621621625
167,Chifunabuli,2013,-0.1084467145,198.6216216216216
168,Chifunabuli,2014,-0.2395089025,173.43243243243242
169,Chifunabuli,2015,-0.9914881366666667,182.16216216216216
170,Chifunabuli,2016,-1.3292034499999998,183.24324324324328
171,Chifunabuli,2017,-1.4771046749999999,174.02702702702703
172,Chifunabuli,2018,-1.1755441,179.2972972972973
173,Chifunabuli,2019,-0.2901582975,164.97297297297297
174,Chifunabuli,2020,0.26306462408333336,182.8918918918919
175,Chifunabuli,2021,1.1832375775,167.54054054054055
176,Chikankanta,2000,1.0060361208333333,177.83333333333334
177,Chikankanta,2001,0.9551937583333333,160.38888888888889
178,Chikankanta,2002,0.6234553158333334,105.25
179,Chikankanta,2003,-0.17174629466666666,156.30555555555554
180,Chikankanta,2004,-0.014353093500000002,155.27777777777777
181,Chikankanta,2005,-0.9052843791666666,123.5
182,Chikankanta,2006,-0.066057475875,156.72222222222223
183,Chikankanta,2007,0.46533842833333333,147.05555555555554
184,Chikankanta,2008,0.9192989783333333,155.38888888888889
185,Chikankanta,2009,1.6969240666666667,157.13888888888889
186,Chikankanta,2010,1.84461565,151.16666666666666
187,Chikankanta,2011,1.7921443333333331,108.30555555555556
188,Chikankanta,2012,0.9304196408333333,151.08333333333334
189,Chikankanta,2013,0.8674033899999999,137.25
190,Chikankanta,2014,0.5457353891666666,162.77777777777777
191,Chikankanta,2015,0.31327273736666666,148.58333333333334
192,Chikankanta,2016,0.08899959125,148.25
193,Chikankanta,2017,0.41453821116666667,148.58333333333334
194,Chikankanta,2018,0.5998703816666667,163.80555555555554
195,Chikankanta,2019,-0.40515327416666663,107.05555555555556
196,Chikankanta,2020,-0.2637209383333333,111.41666666666669
197,Chikankanta,2021,-0.6657100225,143.47222222222223
198,Chilanga,2000,0.6153603541666667,172.64705882352942
199,Chilanga,2001,0.9617826966666666,157.0
200,Chilanga,2002,0.8221335933333332,104.0
201,Chilanga,2003,0.48169190900000003,154.76470588235293
202,Chilanga,2004,0.4710805658333333,153.05882352941177
203,Chilanga,2005,-0.7405788416666667,116.82352941176472
204,Chilanga,2006,-0.08298685393616666,151.94117647058823
205,Chilanga,2007,0.25985039541666666,146.7058823529412
206,Chilanga,2008,0.7693798225,152.76470588235293
207,Chilanga,2009,1.5751883083333336,160.8235294117647
208,Chilanga,2010,2.0396360083333334,149.7058823529412
209,Chilanga,2011,1.979082375,110.52941176470588
210,Chilanga,2012,1.2465697333333334,175.41176470588235
211,Chilanga,2013,0.9747251108333334,157.11764705882354
