date,district,spei
2007-03-31 00:00:00,Chadiza,1.4133611917495728
2007-04-30 00:00:00,Chadiza,1.2625069618225098
2007-05-31 00:00:00,Chadiza,1.0025466680526733
2007-06-30 00:00:00,Chadiza,1.0980862379074097
2007-07-31 00:00:00,Chadiza,-0.06779465079307556
2007-08-31 00:00:00,Chadiza,-0.46917587518692017
2007-09-30 00:00:00,Chadiza,-0.37747952342033386
2007-10-31 00:00:00,Chadiza,0.13992254436016083
2007-11-30 00:00:00,Chadiza,0.1360194981098175
2007-12-31 00:00:00,Chadiza,0.9335383176803589
2008-01-31 00:00:00,Chadiza,1.4182087182998657
2008-02-29 00:00:00,Chadiza,0.9422821998596191
2008-03-31 00:00:00,Chadiza,0.6448620557785034
2008-04-30 00:00:00,Chadiza,0.3082753121852875
2008-05-31 00:00:00,Chadiza,0.2704015374183655
2008-06-30 00:00:00,Chadiza,-0.3105362057685852
2008-07-31 00:00:00,Chadiza,-0.9435208439826965
2008-08-31 00:00:00,Chadiza,-0.884209930896759
2008-09-30 00:00:00,Chadiza,-0.916131317615509
2008-10-31 00:00:00,Chadiza,-0.40935590863227844
2008-11-30 00:00:00,Chadiza,-0.3350798785686493
2008-12-31 00:00:00,Chadiza,0.023041196167469025
2009-01-31 00:00:00,Chadiza,-0.6721786260604858
2009-02-28 00:00:00,Chadiza,-0.6665220856666565
2009-03-31 00:00:00,Chadiza,-0.09678676724433899
2009-04-30 00:00:00,Chadiza,-0.138253852725029
2009-05-31 00:00:00,Chadiza,-0.016082582995295525
2009-06-30 00:00:00,Chadiza,-0.16816483438014984
2009-07-31 00:00:00,Chadiza,0.40771499276161194
2009-08-31 00:00:00,Chadiza,0.9069568514823914
2009-09-30 00:00:00,Chadiza,0.1697758287191391
2009-10-31 00:00:00,Chadiza,0.4594306945800781
2009-11-30 00:00:00,Chadiza,1.4321386814117432
2009-12-31 00:00:00,Chadiza,2.083425760269165
2010-01-31 00:00:00,Chadiza,1.2828816175460815
2010-02-28 00:00:00,Chadiza,2.188591957092285
2010-03-31 00:00:00,Chadiza,2.0953614711761475
2010-04-30 00:00:00,Chadiza,2.0912086963653564
2010-05-31 00:00:00,Chadiza,1.834235668182373
2010-06-30 00:00:00,Chadiza,0.8157593011856079
2010-07-31 00:00:00,Chadiza,1.80710768699646
2010-08-31 00:00:00,Chadiza,0.7165170311927795
2010-09-30 00:00:00,Chadiza,0.9519855380058289
2010-10-31 00:00:00,Chadiza,0.5114753246307373
2010-11-30 00:00:00,Chadiza,-0.03640270605683327
2010-12-31 00:00:00,Chadiza,1.0642460584640503
2011-01-31 00:00:00,Chadiza,1.4800000190734863
2011-02-28 00:00:00,Chadiza,0.6617261171340942
2011-03-31 00:00:00,Chadiza,0.503778338432312
2011-04-30 00:00:00,Chadiza,0.6287597417831421
2011-05-31 00:00:00,Chadiza,0.7460817098617554
2011-06-30 00:00:00,Chadiza,-0.1274833083152771
2011-07-31 00:00:00,Chadiza,-0.8178448677062988
2011-08-31 00:00:00,Chadiza,-0.3976134955883026
