,Unnamed: 0,district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
73,73,Chavuma,2007,-1.20188371,-1.1010157,7,North-Western,November 04,May 06
74,74,Chavuma,2008,-1.05729751,-1.03080678,6,North-Western,November 04,May 06
75,75,Chavuma,2009,-0.0493459990833333,-0.10887658225,6,North-Western,November 04,May 06
76,76,Chavuma,2010,0.4299376948571428,0.4615873,7,North-Western,November 04,May 06
77,77,Chavuma,2011,0.8776910666666667,0.8991549,6,North-Western,November 04,May 06
78,78,Chavuma,2012,0.7921545566666667,0.7610672700000001,6,North-Western,November 04,May 06
79,79,Chavuma,2013,0.8058198599999999,0.7540967,7,North-Western,November 04,May 06
80,80,Chavuma,2014,0.6050087650000001,0.56970245,6,North-Western,November 04,May 06
81,81,Chavuma,2015,0.1456363748,0.08587224,5,North-Western,November 04,May 06
82,82,Chavuma,2016,0.2397979391666666,0.2634302149999999,6,North-Western,November 04,May 06
83,83,Chavuma,2017,0.435513465,0.404532825,6,North-Western,November 04,May 06
84,84,Chavuma,2018,0.0092971283333333,0.035477808,6,North-Western,November 04,May 06
85,85,Chavuma,2019,0.2246263271428571,0.09406031,7,North-Western,November 04,May 06
86,86,Chavuma,2020,0.8360804014285713,0.8870162,7,North-Western,November 04,May 06
87,87,Chavuma,2021,0.3156654228,0.2766677,5,North-Western,November 04,May 06
88,88,Chembe,2000,1.01871896,1.2052584,6,Luapula,November 10,May 14
89,89,Chembe,2001,0.7974468366666668,0.70950498,6,Luapula,November 10,May 14
90,90,Chembe,2002,1.2492642833333334,1.2006805,6,Luapula,November 10,May 14
91,91,Chembe,2003,1.1805303733333332,1.22184325,6,Luapula,November 10,May 14
92,92,Chembe,2004,0.6326389596666667,0.76638432,6,Luapula,November 10,May 14
93,93,Chembe,2005,-0.6441519633333334,-0.6583233,6,Luapula,November 10,May 14
94,94,Chembe,2006,-0.4344773266666666,-0.43379374,6,Luapula,November 10,May 14
95,95,Chembe,2007,-0.2350969728571428,-0.27006015,7,Luapula,November 10,May 14
96,96,Chembe,2008,-0.524564986,-0.54861397,5,Luapula,November 10,May 14
97,97,Chembe,2009,0.671558525,0.714965665,6,Luapula,November 10,May 14
98,98,Chembe,2010,0.3682650066666666,0.40562397,6,Luapula,November 10,May 14
99,99,Chembe,2011,0.8556611399999999,0.7728579,5,Luapula,November 10,May 14
100,100,Chembe,2012,0.9552221633333332,1.01497652,6,Luapula,November 10,May 14
101,101,Chembe,2013,0.4637715685714285,0.43511757,7,Luapula,November 10,May 14
102,102,Chembe,2014,-0.47004336,-0.41881772,6,Luapula,November 10,May 14
103,103,Chembe,2015,-1.105902445,-1.113434,6,Luapula,November 10,May 14
104,104,Chembe,2016,-1.3039302600000002,-1.3026037,6,Luapula,November 10,May 14
105,105,Chembe,2017,-0.6283854733333333,-0.5850842,6,Luapula,November 10,May 14
106,106,Chembe,2018,0.5556850416666667,0.55630957,6,Luapula,November 10,May 14
107,107,Chembe,2019,0.8979706219999999,0.8596834,5,Luapula,November 10,May 14
108,108,Chembe,2020,1.47555754,1.5184915,5,Luapula,November 10,May 14
109,109,Chembe,2021,0.7906759666666666,0.7743745,6,Luapula,November 10,May 14
110,110,Chibombo,2000,1.070257354,0.94197315,5,Central,November 18,April 22
111,111,Chibombo,2001,0.9531533,0.85824,5,Central,November 18,April 22
112,112,Chibombo,2002,0.7027289233333334,0.539498,3,Central,November 18,April 22
113,113,Chibombo,2003,1.18681158,1.2420522,5,Central,November 18,April 22
114,114,Chibombo,2004,0.338859054,0.791922,5,Central,November 18,April 22
115,115,Chibombo,2005,-0.7534412800000001,-0.86705252,4,Central,November 18,April 22
116,116,Chibombo,2006,0.0390057019999999,0.09951425,5,Central,November 18,April 22
117,117,Chibombo,2007,0.403106694,0.39064264,5,Central,November 18,April 22
118,118,Chibombo,2008,0.56095841,0.47582027,5,Central,November 18,April 22
119,119,Chibombo,2009,1.7660270399999998,1.8041236,5,Central,November 18,April 22
120,120,Chibombo,2010,2.0288046,1.8661934,5,Central,November 18,April 22
121,121,Chibombo,2011,1.0401021075,1.08411755,4,Central,November 18,April 22
122,122,Chibombo,2012,1.099548512,1.0297914,5,Central,November 18,April 22
123,123,Chibombo,2013,0.5627794583333333,0.54478845,6,Central,November 18,April 22
124,124,Chibombo,2014,-0.362297298,-0.36253646,5,Central,November 18,April 22
125,125,Chibombo,2015,-0.603458226,-0.575034,5,Central,November 18,April 22
126,126,Chibombo,2016,-0.322387916,-0.3528615,5,Central,November 18,April 22
127,127,Chibombo,2017,0.5328886004,0.61491174,5,Central,November 18,April 22
128,128,Chibombo,2018,0.3642623683333333,0.370122275,6,Central,November 18,April 22
129,129,Chibombo,2019,0.0073526559999999,-0.076185148,4,Central,November 18,April 22
130,130,Chibombo,2020,-0.219193866,-0.31407014,5,Central,November 18,April 22
131,131,Chibombo,2021,-0.7280626219999999,-0.75775427,5,Central,November 18,April 22
132,132,Chiengi,2000,0.3002183783333332,0.42037916,6,Luapula,November 10,May 14
133,133,Chiengi,2001,-0.5722682214285715,-0.41507834,7,Luapula,November 10,May 14
134,134,Chiengi,2002,-0.3474776841666666,-0.2179709699999999,6,Luapula,November 10,May 14
135,135,Chiengi,2003,-1.11411664,-1.1630226499999998,6,Luapula,November 10,May 14
136,136,Chiengi,2004,-0.4892331,-0.5177545,7,Luapula,November 10,May 14
137,137,Chiengi,2005,-1.0115572516666669,-0.92717917,6,Luapula,November 10,May 14
138,138,Chiengi,2006,-0.74776404875,-0.722811125,8,Luapula,November 10,May 14
139,139,Chiengi,2007,-0.188934469375,-0.2708405849999999,8,Luapula,November 10,May 14
140,140,Chiengi,2008,-0.6623325285714287,-0.71941286,7,Luapula,November 10,May 14
141,141,Chiengi,2009,-0.1253660439999999,-0.047881217,6,Luapula,November 10,May 14
142,142,Chiengi,2010,-1.1430015342857145,-1.2335608,7,Luapula,November 10,May 14
143,143,Chiengi,2011,-1.2088904042857145,-1.2230128,7,Luapula,November 10,May 14
144,144,Chiengi,2012,-0.952351635,-1.0062931000000002,8,Luapula,November 10,May 14
145,145,Chiengi,2013,-0.4218556015714286,-0.6671674,7,Luapula,November 10,May 14
146,146,Chiengi,2014,0.381282166,0.32316026,5,Luapula,November 10,May 14
147,147,Chiengi,2015,1.0867843833333333,1.07965335,6,Luapula,November 10,May 14
148,148,Chiengi,2016,0.54482051,0.4931585,7,Luapula,November 10,May 14
149,149,Chiengi,2017,0.2088438224,0.28210425,5,Luapula,November 10,May 14
150,150,Chiengi,2018,0.6869956742857143,0.80593026,7,Luapula,November 10,May 14
151,151,Chiengi,2019,0.65137244,0.6590654499999999,6,Luapula,November 10,May 14
152,152,Chiengi,2020,1.0584425933333332,1.0525142,6,Luapula,November 10,May 14
153,153,Chiengi,2021,0.9752601883333334,1.051031,6,Luapula,November 10,May 14
154,154,Chifunabuli,2000,1.0047644050000002,1.05233685,6,Luapula,November 10,May 14
155,155,Chifunabuli,2001,0.3415823123333333,0.33895254,6,Luapula,November 10,May 14
156,156,Chifunabuli,2002,0.720136465,0.761455335,6,Luapula,November 10,May 14
157,157,Chifunabuli,2003,0.6343716266666667,0.64679834,6,Luapula,November 10,May 14
158,158,Chifunabuli,2004,0.7627080614285714,0.9534534,7,Luapula,November 10,May 14
159,159,Chifunabuli,2005,-0.2743661858333333,-0.214233845,6,Luapula,November 10,May 14
160,160,Chifunabuli,2006,0.4593619066666666,0.5518722149999999,6,Luapula,November 10,May 14
161,161,Chifunabuli,2007,0.7370670228571428,0.72336817,7,Luapula,November 10,May 14
162,162,Chifunabuli,2008,0.3422852271666666,0.43530219,6,Luapula,November 10,May 14
163,163,Chifunabuli,2009,1.4064682666666666,1.4256784,6,Luapula,November 10,May 14
164,164,Chifunabuli,2010,0.1971330533333333,0.2118228499999999,6,Luapula,November 10,May 14
165,165,Chifunabuli,2011,0.363989548,0.3042978,5,Luapula,November 10,May 14
166,166,Chifunabuli,2012,0.1952889443333333,0.155854828,6,Luapula,November 10,May 14
167,167,Chifunabuli,2013,-0.2250708914285714,-0.22947113,7,Luapula,November 10,May 14
168,168,Chifunabuli,2014,-0.7569477,-0.7725063000000001,6,Luapula,November 10,May 14
169,169,Chifunabuli,2015,-1.1606516833333334,-1.1545157499999998,6,Luapula,November 10,May 14
170,170,Chifunabuli,2016,-1.629255983333333,-1.6565518,6,Luapula,November 10,May 14
171,171,Chifunabuli,2017,-1.294383216666667,-1.2854959,6,Luapula,November 10,May 14
172,172,Chifunabuli,2018,-0.4590901266666666,-0.3957263949999999,6,Luapula,November 10,May 14
173,173,Chifunabuli,2019,-0.0530741921999999,-0.021505991,5,Luapula,November 10,May 14
174,174,Chifunabuli,2020,1.083262925,1.1385497999999998,6,Luapula,November 10,May 14
175,175,Chifunabuli,2021,0.5872902516666666,0.55600055,6,Luapula,November 10,May 14
176,176,Chikankanta,2000,1.0432630883333334,1.044526315,6,Southern,October 16,March 04
177,177,Chikankanta,2001,0.7785873000000001,0.6994316,5,Southern,October 16,March 04
178,178,Chikankanta,2002,-0.2810342066666667,-0.47034216,3,Southern,October 16,March 04
179,179,Chikankanta,2003,-0.0503707131666666,-0.0322894165,6,Southern,October 16,March 04
180,180,Chikankanta,2004,-0.207917136,-0.05005047,5,Southern,October 16,March 04
181,181,Chikankanta,2005,-0.6648625179999998,-0.821915,5,Southern,October 16,March 04
182,182,Chikankanta,2006,0.4299082802,0.26085186,5,Southern,October 16,March 04
183,183,Chikankanta,2007,1.17073344,1.2932028,5,Southern,October 16,March 04
184,184,Chikankanta,2008,1.0556120000000002,1.0573163,5,Southern,October 16,March 04
185,185,Chikankanta,2009,1.88856322,1.8634344,5,Southern,October 16,March 04
186,186,Chikankanta,2010,1.98521852,1.9417841,5,Southern,October 16,March 04
187,187,Chikankanta,2011,0.8703310825,0.89688295,4,Southern,October 16,March 04
188,188,Chikankanta,2012,1.009573702,0.98473495,5,Southern,October 16,March 04
189,189,Chikankanta,2013,0.8094755575,0.7540568649999999,4,Southern,October 16,March 04
190,190,Chikankanta,2014,0.230398762,0.215517,5,Southern,October 16,March 04
191,191,Chikankanta,2015,-0.0100027233199999,-0.0045454516,5,Southern,October 16,March 04
192,192,Chikankanta,2016,0.0945913687999999,0.13124233,5,Southern,October 16,March 04
193,193,Chikankanta,2017,0.537262272,0.68875206,5,Southern,October 16,March 04
194,194,Chikankanta,2018,0.026746515,-0.0088032549999999,6,Southern,October 16,March 04
195,195,Chikankanta,2019,-0.11444367,-0.10531534,3,Southern,October 16,March 04
196,196,Chikankanta,2020,-0.3643546366666666,-0.36365238,3,Southern,October 16,March 04
197,197,Chikankanta,2021,-0.8887686739999999,-1.0450848,5,Southern,October 16,March 04
198,198,Chilanga,2000,0.931834038,0.94862455,5,Lusaka,November 07,March 31
199,199,Chilanga,2001,0.8256404959999999,0.7410793,5,Lusaka,November 07,March 31
200,200,Chilanga,2002,0.337894736,0.19051561,3,Lusaka,November 07,March 31
201,201,Chilanga,2003,0.5551399983333333,0.554061575,6,Lusaka,November 07,March 31
202,202,Chilanga,2004,0.081664994,0.42572066,5,Lusaka,November 07,March 31
203,203,Chilanga,2005,-0.7829102425000001,-0.884646125,4,Lusaka,November 07,March 31
204,204,Chilanga,2006,0.2566704404,0.10138935,5,Lusaka,November 07,March 31
205,205,Chilanga,2007,0.926488178,0.9256959,5,Lusaka,November 07,March 31
206,206,Chilanga,2008,0.959018,0.9607637,5,Lusaka,November 07,March 31
207,207,Chilanga,2009,1.92589036,1.9521053,5,Lusaka,November 07,March 31
208,208,Chilanga,2010,2.15265006,2.082932,5,Lusaka,November 07,March 31
209,209,Chilanga,2011,1.212956525,1.24495875,4,Lusaka,November 07,March 31
210,210,Chilanga,2012,1.20460418,1.0912464,5,Lusaka,November 07,March 31
211,211,Chilanga,2013,0.59175365,0.5050885,5,Lusaka,November 07,March 31
212,212,Chilanga,2014,-0.237920952,-0.26308513,5,Lusaka,November 07,March 31
213,213,Chilanga,2015,-0.4804683519999999,-0.43940353,5,Lusaka,November 07,March 31
214,214,Chilanga,2016,-0.12739113368,-0.2343379,5,Lusaka,November 07,March 31
215,215,Chilanga,2017,0.420678666,0.61982346,5,Lusaka,November 07,March 31
216,216,Chilanga,2018,0.0254241319999999,-0.0109426339999999,6,Lusaka,November 07,March 31
217,217,Chilanga,2019,-0.179217182,-0.1474391649999999,4,Lusaka,November 07,March 31
218,218,Chilanga,2020,-0.545035794,-0.5496148,5,Lusaka,November 07,March 31
219,219,Chilanga,2021,-1.0533827859999998,-1.096236,5,Lusaka,November 07,March 31
220,220,Chililabombwe,2000,1.198941501666667,1.36272275,6,Copperbelt,November 13,May 07
221,221,Chililabombwe,2001,1.1234507571428571,1.0993302,7,Copperbelt,November 13,May 07
222,222,Chililabombwe,2002,1.1581663333333332,1.1012887,6,Copperbelt,November 13,May 07
223,223,Chililabombwe,2003,1.4430389714285714,1.3830873,7,Copperbelt,November 13,May 07
224,224,Chililabombwe,2004,0.4883765716666667,0.51312465,6,Copperbelt,November 13,May 07
225,225,Chililabombwe,2005,-0.5497832842,-0.69784433,6,Copperbelt,November 13,May 07
226,226,Chililabombwe,2006,-0.0979549133333333,-0.136739905,6,Copperbelt,November 13,May 07
227,227,Chililabombwe,2007,0.020486063,0.031182721,7,Copperbelt,November 13,May 07
228,228,Chililabombwe,2008,0.2027708492,0.0766155,5,Copperbelt,November 13,May 07
229,229,Chililabombwe,2009,1.4609364285714286,1.4577956,7,Copperbelt,November 13,May 07
230,230,Chililabombwe,2010,1.1378553166666667,1.12858225,6,Copperbelt,November 13,May 07
231,231,Chililabombwe,2011,1.008685538,0.87787455,5,Copperbelt,November 13,May 07
232,232,Chililabombwe,2012,0.9779620233333332,1.10604925,6,Copperbelt,November 13,May 07
