,province,season_year,mean_spei,median_spei,n_districts,province_avg_start_date,province_avg_end_date
76,Luapula,2010,-0.10746202923809522,0.045755414999999945,12,November 10,May 14
77,Luapula,2011,0.10984872011507936,0.37278195999999997,12,November 10,May 14
78,Luapula,2012,0.2140058306385159,0.294265014,12,November 10,May 14
79,Luapula,2013,0.104297765175,0.09205659984999995,12,November 10,May 14
80,Luapula,2014,-0.2746486238930555,-0.36477283,12,November 10,May 14
81,Luapula,2015,-0.5828278819305556,-0.8899879749999999,12,November 10,May 14
82,Luapula,2016,-1.2390182783333332,-1.3465061249999999,12,November 10,May 14
83,Luapula,2017,-0.9975629399388889,-1.178918625,12,November 10,May 14
84,Luapula,2018,-0.08749180453968253,-0.08854589349999994,12,November 10,May 14
85,Luapula,2019,0.15804916863666668,0.0631926295,12,November 10,May 14
86,Luapula,2020,1.176510097388889,1.1475777999999999,12,November 10,May 14
87,Luapula,2021,0.5181234455416667,0.542628475,12,November 10,May 14
88,Lusaka,2000,1.2644774934166665,1.213022125,8,November 07,March 31
89,Lusaka,2001,0.999099342,0.91463995,8,November 07,March 31
90,Lusaka,2002,0.2570328272083333,0.19549744,8,November 07,March 31
91,Lusaka,2003,0.37998599944166667,0.456916985,8,November 07,March 31
92,Lusaka,2004,-0.050199953925,0.2017667,8,November 07,March 31
93,Lusaka,2005,-0.7911055824250001,-0.9130055349999999,8,November 07,March 31
94,Lusaka,2006,0.1581109126625,0.09171348,8,November 07,March 31
95,Lusaka,2007,0.7759349978250001,0.8356747849999999,8,November 07,March 31
96,Lusaka,2008,0.7627737004583334,0.7243603750000001,8,November 07,March 31
97,Lusaka,2009,1.776804855,1.8321331,8,November 07,March 31
98,Lusaka,2010,2.05938941,2.0032584,8,November 07,March 31
99,Lusaka,2011,0.953241925625,0.991807535,8,November 07,March 31
100,Lusaka,2012,0.9218308803749999,0.96651597,8,November 07,March 31
101,Lusaka,2013,0.3926495334375,0.462517245,8,November 07,March 31
102,Lusaka,2014,-0.26625726372749997,-0.22680674,8,November 07,March 31
103,Lusaka,2015,-0.3775435813,-0.379126205,8,November 07,March 31
104,Lusaka,2016,-0.0980347383975,-0.16732835499999998,8,November 07,March 31
105,Lusaka,2017,0.50663528755,0.696131935,8,November 07,March 31
106,Lusaka,2018,0.0461816941383333,-0.01436919199999995,8,November 07,March 31
107,Lusaka,2019,-0.10611523608541669,-0.08639949525,8,November 07,March 31
108,Lusaka,2020,-0.40002630091666663,-0.45791451499999997,8,November 07,March 31
109,Lusaka,2021,-0.90902396965,-1.05816735,8,November 07,March 31
110,Muchinga,2000,0.45501074624074067,0.5515546849999999,9,November 24,May 12
111,Muchinga,2001,-0.5670720016481482,-0.61051714,9,November 24,May 12
112,Muchinga,2002,-0.148174497,0.009418552,9,November 24,May 12
113,Muchinga,2003,0.0017992119475925333,0.111572727,9,November 24,May 12
114,Muchinga,2004,0.16244778370767193,0.37510972,9,November 24,May 12
115,Muchinga,2005,-0.5051934330925926,-0.365468845,9,November 24,May 12
116,Muchinga,2006,0.20850389058201058,0.3576073,9,November 24,May 12
117,Muchinga,2007,0.6437514557100529,0.66988465,9,November 24,May 12
118,Muchinga,2008,-0.38601642504444444,-0.96015063,9,November 24,May 12
119,Muchinga,2009,0.9011015156370371,0.77995477,9,November 24,May 12
120,Muchinga,2010,-0.04171882201851852,-0.37366763,9,November 24,May 12
121,Muchinga,2011,-0.19068184177777778,-0.50010484,9,November 24,May 12
122,Muchinga,2012,0.022676220740740743,-0.071124115,9,November 24,May 12
123,Muchinga,2013,-0.5150155411481482,-0.35193834,9,November 24,May 12
124,Muchinga,2014,-0.6352868726666666,-0.780973045,9,November 24,May 12
125,Muchinga,2015,-0.8420932498148148,-0.96063305,9,November 24,May 12
126,Muchinga,2016,-0.9648146008015873,-1.18781895,9,November 24,May 12
127,Muchinga,2017,-0.6752025122592592,-0.8975420000000001,9,November 24,May 12
128,Muchinga,2018,0.005781306481481511,-0.17868625,9,November 24,May 12
129,Muchinga,2019,0.467775481902963,0.5108708,9,November 24,May 12
130,Muchinga,2020,1.0334617086666666,1.1295168,9,November 24,May 12
131,Muchinga,2021,0.7238395014962964,0.937683775,9,November 24,May 12
132,North-Western,2000,-0.09422500529675325,-0.16277914,11,November 04,May 06
133,North-Western,2001,-0.2960165923246753,-0.262523525,11,November 04,May 06
134,North-Western,2002,-0.5556175797705628,-0.61304665,11,November 04,May 06
135,North-Western,2003,-0.21236268875324676,0.06560879,11,November 04,May 06
136,North-Western,2004,-0.3474845267748918,-0.3147809,11,November 04,May 06
137,North-Western,2005,-0.8961848039350649,-0.97312397,11,November 04,May 06
138,North-Western,2006,-0.31142104562510825,-0.306774885,11,November 04,May 06
139,North-Western,2007,-0.17466660826978353,0.00027690356,11,November 04,May 06
140,North-Western,2008,0.045516850794372336,-0.06674115,11,November 04,May 06
141,North-Western,2009,0.9355782983733767,1.03719055,11,November 04,May 06
142,North-Western,2010,0.961917207952381,1.256479,11,November 04,May 06
143,North-Western,2011,0.9679065693506493,1.1741376,11,November 04,May 06
144,North-Western,2012,0.9103416929177488,1.2075558,11,November 04,May 06
145,North-Western,2013,0.7655914958914501,0.7540967,11,November 04,May 06
146,North-Western,2014,0.2146545556060606,0.001547727,11,November 04,May 06
147,North-Western,2015,-0.2991902955116883,-0.488143615,11,November 04,May 06
148,North-Western,2016,-0.583093059573593,-0.6192325,11,November 04,May 06
149,North-Western,2017,-0.3272149701666667,-0.28136544,11,November 04,May 06
150,North-Western,2018,-0.18676321672727275,-0.15138124,11,November 04,May 06
151,North-Western,2019,0.018310273871168816,0.08714662,11,November 04,May 06
152,North-Western,2020,0.602280708969697,0.84686995,11,November 04,May 06
153,North-Western,2021,-0.23648810346190477,-0.39664465,11,November 04,May 06
154,Northern,2000,0.6345414082361112,0.557508,12,November 13,May 15
155,Northern,2001,-0.4254553131428571,-0.60811213,12,November 13,May 15
156,Northern,2002,-0.32957063245833335,-0.3631904235,12,November 13,May 15
157,Northern,2003,-0.4376933375277778,-0.53524375,12,November 13,May 15
158,Northern,2004,-0.14015344715277778,-0.336963625,12,November 13,May 15
159,Northern,2005,-0.9187393326190477,-1.0085129,12,November 13,May 15
160,Northern,2006,-0.17075656385079366,0.07221914755,12,November 13,May 15
161,Northern,2007,0.26096105697867067,0.43953919499999994,12,November 13,May 15
162,Northern,2008,-0.44718511094444446,-0.602387445,12,November 13,May 15
163,Northern,2009,0.4997053414305555,0.44906872249999996,12,November 13,May 15
164,Northern,2010,-0.987302397063492,-1.213912525,12,November 13,May 15
165,Northern,2011,-1.1934026319722222,-1.1916947,12,November 13,May 15
166,Northern,2012,-1.0605949881148413,-1.241769375,12,November 13,May 15
167,Northern,2013,-0.6313978434444444,-0.634175675,12,November 13,May 15
168,Northern,2014,-0.19664808816666665,-0.31435459,12,November 13,May 15
169,Northern,2015,0.08480253662083331,0.0214282395,12,November 13,May 15
170,Northern,2016,-0.66878206151627,-0.748486065,12,November 13,May 15
171,Northern,2017,-0.8301421863555555,-0.9953369400000001,12,November 13,May 15
172,Northern,2018,-0.2089424735063492,-0.1539041875,12,November 13,May 15
173,Northern,2019,0.27596085184444447,0.25489248,12,November 13,May 15
174,Northern,2020,1.3282497614166668,1.33224825,12,November 13,May 15
175,Northern,2021,1.0120010650884723,1.0473188,12,November 13,May 15
176,Southern,2000,0.8181874835897436,0.8629198,13,October 16,March 04
177,Southern,2001,0.6775542070256411,0.66341315,13,October 16,March 04
178,Southern,2002,0.027760071974358976,-0.070333265,13,October 16,March 04
179,Southern,2003,0.02191432758096155,-0.0322894165,13,October 16,March 04
180,Southern,2004,-0.3918313764633333,-0.41583677,13,October 16,March 04
181,Southern,2005,-0.8602396256923076,-0.8764708999999999,13,October 16,March 04
182,Southern,2006,0.5813552773076923,0.6027769,13,October 16,March 04
183,Southern,2007,1.262155099076923,1.2864034,13,October 16,March 04
184,Southern,2008,1.442018989846154,1.4900802,13,October 16,March 04
185,Southern,2009,1.84508112,1.8435295,13,October 16,March 04
186,Southern,2010,1.9030329702564104,1.9006526,13,October 16,March 04
187,Southern,2011,1.3835976140384614,1.25538705,13,October 16,March 04
188,Southern,2012,1.119375724923077,1.1331873,13,October 16,March 04
189,Southern,2013,0.9022820269358974,0.90023196,13,October 16,March 04
190,Southern,2014,0.42246170629487173,0.38828886,13,October 16,March 04
191,Southern,2015,-0.2572384336707692,-0.25092518,13,October 16,March 04
192,Southern,2016,-0.11118432874615386,-0.13304347,13,October 16,March 04
193,Southern,2017,0.37887935189230765,0.5275309,13,October 16,March 04
194,Southern,2018,0.024538518547435904,-0.0088032549999999,13,October 16,March 04
195,Southern,2019,-0.10475597242820513,-0.10531534,13,October 16,March 04
196,Southern,2020,-0.15469431348717946,-0.178803155,13,October 16,March 04
197,Southern,2021,-1.1207976332307692,-1.3265284,13,October 16,March 04
198,Western,2000,-0.068489624660625,-0.023457255375,16,November 07,April 13
199,Western,2001,0.21520030155029757,0.184284715,16,November 07,April 13
200,Western,2002,-0.13967873295656247,-0.14435980249999997,16,November 07,April 13
201,Western,2003,0.16998362762291666,0.2650542025,16,November 07,April 13
202,Western,2004,0.015133792796354162,0.035543412499999996,16,November 07,April 13
203,Western,2005,-0.4529641233208333,-0.476915765,16,November 07,April 13
204,Western,2006,0.5945510202229166,0.77157045,16,November 07,April 13
205,Western,2007,0.9034898900431547,1.0074231,16,November 07,April 13
206,Western,2008,1.3274823789999999,1.4271577500000001,16,November 07,April 13
207,Western,2009,1.7321617641666667,1.7128174999999999,16,November 07,April 13
208,Western,2010,1.8640943935416667,1.855530575,16,November 07,April 13
209,Western,2011,1.7879189963541666,1.76675475,16,November 07,April 13
210,Western,2012,1.4795759267708333,1.5156752,16,November 07,April 13
211,Western,2013,1.1916400465833332,1.2268066499999999,16,November 07,April 13
212,Western,2014,0.29669034902291663,0.35792377,16,November 07,April 13
213,Western,2015,-0.737722722375,-0.76505558,16,November 07,April 13
214,Western,2016,-0.5628269253645833,-0.608905075,16,November 07,April 13
215,Western,2017,0.02178879421458335,0.046133886,16,November 07,April 13
216,Western,2018,-0.10539855319166665,-0.16094351749999997,16,November 07,April 13
217,Western,2019,-0.3489090849291666,-0.36387897999999996,16,November 07,April 13
218,Western,2020,-0.2478217687325,-0.24663745185000002,16,November 07,April 13
219,Western,2021,-1.083587963125,-1.12253115,16,November 07,April 13
