district,corr_lag1,pval_lag1,slope_lag1,r2_lag1,corr_lag2,pval_lag2,slope_lag2,r2_lag2,corr_lag3,pval_lag3,slope_lag3,r2_lag3,corr_lag4,pval_lag4,slope_lag4,r2_lag4,corr_lag5,pval_lag5,slope_lag5,r2_lag5
Chadiza,-0.0757134900895993,0.7510506035154464,-0.018866514773510222,0.005732532581547851,0.11957848907898348,0.6258327849202705,0.0281579390639482,0.014299015050412572,-0.09725868268047215,0.7010358982645537,-0.022612582628156522,0.009459251356740774,-0.03423822955085972,0.896208507788944,-0.007965814348231,0.001172256362777364,-0.12968089433628188,0.6321692904302155,-0.02941605661139621,0.016817134355857907
Chama,0.3990071719588178,0.08137857517001691,0.04096713185719202,0.1592067232745736,0.2174262761130675,0.371234608480993,0.02462249243636772,0.047274185544395865,-0.359611820245072,0.14272088765776697,-0.04112637635356189,0.12932066125997396,0.012440750378592063,0.9622033128688872,0.0013760459416004083,0.00015477226998243855,-0.22668458114703566,0.3985254958136836,-0.026439495381560436,0.05138589932980699
Chavuma,-0.34707341808846537,0.13380161149996742,-0.3598808027721235,0.12045995754361068,-0.5170967690273273,0.02337808520151212,-0.5299011417023404,0.26738906853850103,-0.5219071702396887,0.026309841113950957,-0.521685457757542,0.2723870943475994,-0.4262933259837071,0.0879507751657786,-0.42144152522730877,0.18172599977825118,-0.3930582392187513,0.1320445561992248,-0.3835878329640523,0.15449477941774514
Chibombo,-0.3649420072138241,0.11362307812137676,-0.40700675109183,0.13318266862925482,-0.3961880683532786,0.09310657295653277,-0.43213855291469805,0.15696498550550214,-0.4516469968356727,0.059900945808123114,-0.481121389293249,0.20398500975068218,-0.08104829177093283,0.757149700159568,-0.08136478145766245,0.006568825598986258,0.15893424503187045,0.5565827691696654,0.1577962355436488,0.025260094243850638
Chililabombwe,-0.03907196924316332,0.8700887077934559,-0.05916390314469975,0.0015266187805387005,-0.218164046595382,0.3695734414830646,-0.3261430726266583,0.04759555122687201,-0.22055886129117164,0.3791431563878742,-0.32753970195857995,0.04864621129405829,-0.5223368574098264,0.03147816105470636,-0.7466581595069881,0.2728357926087733,-0.6691656905741358,0.00458429034568558,-0.9617594600065031,0.44778272144156
Chilubi,0.2743783688340093,0.24172531682992837,0.24631592666952212,0.07528348928401164,-0.06602831501934497,0.7882649954710812,-0.0636335006222395,0.004359738384293857,0.029178401548623847,0.9085006913333595,0.027478045633133014,0.0008513791169327345,-0.09129644257803464,0.7274784951660493,-0.08547561082424394,0.008335040427404376,0.21801280813670804,0.41728559557122324,0.2115798368152686,0.04752958451165307
Chingola,-0.09549557175243674,0.6887972294341526,-0.09133946870212378,0.009119404224324794,-0.4154821311960982,0.07688083258909952,-0.39429853646448565,0.17262540134325177,-0.5254050406062628,0.025143863220255965,-0.493601752094003,0.27605045669446865,-0.6524257354666786,0.004529775950274699,-0.5896552179716292,0.42565934029923647,-0.5776684724424657,0.01910583251369339,-0.5166448255463748,0.3337008640540117
Chinsali,-0.014222831832400279,0.952543099035015,-0.006285838605480878,0.00020228894533273867,-0.30393397367587166,0.20584869392660227,-0.15340097890656235,0.09237586035440545,-0.37578148514834303,0.12433885420710167,-0.19032767342970325,0.14121172458029435,-0.6568902254103965,0.004172660264320674,-0.3031476576127056,0.43150476823972156,-0.6061202621466408,0.012815515782651391,-0.2698444477891796,0.36738177218471263
Chipata,0.3290664381246748,0.1565736153969318,0.12731077362583343,0.10828472070006041,0.42262043204560823,0.07144300799439766,0.1639579261809116,0.17860802958241656,-0.021115083775897187,0.9337234741753098,-0.008129661138921796,0.0004458467628631566,0.04274288030313315,0.8706104395636296,0.016583433927662823,0.0018269538166079675,-0.0780007899632313,0.7740117304380973,-0.029672582157746194,0.006084123234888125
Choma,-0.12602056532903458,0.5965203713945,-0.0773650952777069,0.01588118288584947,-0.13373998260336958,0.5851726030724866,-0.08074766034860696,0.017886382946749598,0.0042169280744910565,0.9867505828814264,0.002525811889054346,1.778248238543085e-05,-0.023628364131851806,0.9282765353213935,-0.013817629300950282,0.0005582995915473809,0.07737025607461472,0.7757948898628158,0.04504866695590022,0.005986156525051455
Chongwe,-0.19866611508499188,0.401092559878958,-0.04982700599495361,0.03946822528296324,-0.2900331021634673,0.22839565588458702,-0.05895768997652446,0.08411920035056425,-0.4500727132076677,0.06090895341410134,-0.09232620521913669,0.20256544717411148,-0.1165353885939194,0.6560220109420056,-0.023375982418719982,0.0135804967947358,0.14924137278681207,0.5811908006393696,0.029832826902914784,0.02227298735129221
Gwembe,-0.1098176869302051,0.6448739010709446,-0.029516257693043554,0.012059924362700541,-0.1088921393548928,0.657223375301218,-0.029037323439730475,0.011857498013285393,-0.21574328430473852,0.38989870173769914,-0.05798711247389949,0.046545164722595234,-0.2406236903009903,0.3522061037672989,-0.06519271259292998,0.05789976033406689,-0.08880116647238466,0.7436391124599173,-0.024177434628828664,0.007885647166856174
Isoka,0.5043317633280031,0.0233548739824601,0.12107386145946893,0.2543505275015329,0.40105652930853436,0.08879592457110771,0.11432766698904889,0.16084633970100728,0.33215695062784745,0.1780888930211691,0.11101798332104702,0.11032823985039028,0.0018138767409300793,0.9944873875816687,0.0006251266489362803,3.2901488312871262e-06,0.2560809747054554,0.33840204017412556,0.08926819544601587,0.06557746560609608
Itezhi-tezhi,-0.13699542066463274,0.564655863542169,-0.054797518970574305,0.018767745283079684,-0.18411488484927063,0.45052454227098104,-0.07453927479024902,0.03389829082306019,-0.20005077650411524,0.4260864849085749,-0.08403781737351317,0.040020313179899465,-0.24210403168393158,0.3491604779043287,-0.10409524464790386,0.05861436215761415,-0.4092063697085856,0.11551353314330541,-0.1757415117435047,0.16744985301007964
Kabompo,0.08317950751819524,0.7273574433981611,0.02051834555890209,0.006918830470969498,-0.13133470277209974,0.5919994596973979,-0.03088115316933552,0.017248804152235783,-0.07096378791842321,0.7796218220854707,-0.016154785835556913,0.005035859195730948,-0.10442629334714572,0.6899975029284093,-0.023921818214863923,0.01090485074222413,-0.10174057670906383,0.7077157322727115,-0.021992347424927606,0.010351144949092903
Kabwe,-0.3355617256953106,0.14807033041968773,-0.24394377879749943,0.11260167175161488,-0.10318288373423706,0.6742262365537416,-0.07330760219352468,0.010646707495713083,0.13063846563311082,0.6053760244180475,0.08892282418938739,0.017066408702973476,0.20983529642959384,0.41889927819696815,0.13523488227272956,0.044030851627695516,0.09243159683572784,0.7335064004514009,0.05960174518053475,0.008543600093602532
Kafue,-0.062009766415747604,0.795087918254406,-0.01877503657173648,0.0038452111309355795,-0.0705128362063163,0.7742279561676048,-0.021762598911942405,0.004972060069858792,-0.27480074609788446,0.2697669483665446,-0.08365670707632329,0.07551545005595396,-0.318079433709232,0.21342314400128776,-0.0949071788085708,0.10117452614878569,-0.08424691982770609,0.7564060431086624,-0.02493699955187295,0.0070975435004559375
Kalabo,0.01594974702798233,0.9467883439171886,0.035222251023815834,0.0002543944302566311,-0.21715227651124874,0.3718526170996167,-0.48046038854919443,0.04715511119401783,-0.19783961119376578,0.43132333437309556,-0.44843174181380013,0.03914051175730041,-0.21890465088311165,0.39859821729334544,-0.5000284096310535,0.04791924617825699,-0.3484115287665388,0.1860036667173655,-0.8138932168524178,0.1213905933774367
Kalomo,0.13872341417959316,0.5597079445703711,0.04346337887326783,0.01924418564164295,0.08045587242648518,0.74334895347102,0.024963850615781522,0.006473147407906858,-0.21221652730273047,0.3978806473416959,-0.06378854715373487,0.04503585446043055,-0.5232233348204952,0.031139914354896808,-0.15416666071379173,0.27376265810068,-0.6722184371323063,0.0043359975258762925,-0.19057188372268732,0.4518776272206005
Kalulushi,-0.1987958156999075,0.40077887741561335,-0.4572096833438588,0.03951977633979159,-0.36999501364639176,0.11894550539179183,-0.8376964322021136,0.13689631012319362,-0.24375536290812758,0.32969334048495913,-0.5350379060388852,0.05941667694647298,-0.2093204310421288,0.42006783669563685,-0.43579679378869257,0.0438150428516626,-0.13931205042432948,0.6068559758970153,-0.27908958822081686,0.01940784739343092
Kaoma,-0.33932938846105826,0.1432883837257732,-0.14002668715864208,0.11514443387335578,-0.37393501697178105,0.11476494051616266,-0.15229251702351662,0.1398273969176862,-0.3412660794705964,0.16576099186393786,-0.13590870388310047,0.11646253699723141,-0.39129655439420696,0.12038520544821167,-0.15009450743940442,0.15311299348077856,-0.270561085823466,0.31081108195679163,-0.10356854394420031,0.07320330116197293
Kaputa,0.113412361014679,0.6340184257494954,0.0341071779727266,0.01286236363092388,-0.13594893325345273,0.5789324461609269,-0.0474742703264793,0.018482112452751744,0.25134358818517927,0.31437874469804405,0.09272386416319629,0.06317359932180099,-0.07427070607207018,0.7769531621811596,-0.028177194897514163,0.0055161377804438414,-0.16451147980179928,0.5426316137557812,-0.06183806169498094,0.027064026986577814
